university,school,dean_name,start_month_year,end_month_year,start_year,end_year,is_interim,origin_category,gender,prior_position_title,prior_institution,evidence_urls,confidence,note,src,action
Texas A&M University,Mays Business School,Ricky W. Griffin,Jun-07,Aug-08,2007.0,2008.0,1,Interim-Internal,M,"Executive Associate Dean, Mays Business School",Texas A&M University (internal),"['https://news.mays.tamu.edu/news/2008/08/hooah-ags/', 'https://mays.tamu.edu/directory/jerry-r-strawser/']",high,"Griffin served as interim dean of Mays Business School from June 2007 to August 2008, filling the gap while Jerry Strawser served as interim Executive VP and Provost of Texas A&M. Directly confirmed by an August 2008 Mays news article quoting him as 'Mays Interim Dean' referencing his 'past 15 months as dean' (consistent with a June 2007 start), and by Strawser's own bio confirming his 2007-2008 provost interim role. This is Griffin's FIRST of three total stints in the Mays dean's office (he also served as interim dean 2014-2015 and again 2022-2023, both already present in the dataset as rows 379 and 382). This missing 2007-2008 spell should be added as a new row between rows 377 and 378.",batch_09_findings.json,added
University of Colorado Denver,Business School,Sueann Ambron,,Jun-16,2000.0,2016.0,0,External,F,"Founder, Apple Multimedia Lab","Apple Computer, Inc.","['https://business-news.ucdenver.edu/2016/06/30/cu-denver-business-school-gets-a-new-dean/', 'https://news.ucdenver.edu/new-building-and-programs-among-ambron-accomplishments/']",high,"CU Denver's longest-serving business school dean (2000-2016), entirely missing from dataset. Announced retirement Jan 2015, effective July 3 2015/June 30 2016 (sources give both dates for actual departure; successor Christie-David started Aug 2016). Predates row_index 513 which incorrectly started the timeline at 2019 for Christie-David (who actually started 2016).",batch_12_findings.json,added
University of Connecticut,School of Business,"Mohamed ""Mo"" Hussein",,,2006.0,2007.0,1,Interim-Internal,M,Accounting Department Head,University of Connecticut (internal),"['https://today.uconn.edu/2016/04/mo-hussein-beloved-accounting-professor/', 'https://www.business.uconn.edu/2016/04/26/mo-hussein-the-story-of-a-beloved-professor/']",high,"Mo Hussein served as interim dean 2006-07, bridging the gap between William Curt Hunter (ends 2006) and Christopher Earley (starts Jan 2008). He also served as accounting department head 1989-90 and 2003-15.",batch_13_findings_part1.json,added
University of Delaware,Alfred Lerner College of Business and Economics,Sheryl F. Kline,Jul-23,Aug-23,2023.0,2023.0,1,Interim-Internal,F,"Deputy Dean, Lerner College",University of Delaware (internal),"['https://www.udel.edu/udaily/2023/june/oliver-yao-dean-lerner-college-lehigh-business-professor/', 'https://lerner.udel.edu/faculty-staff-directory/sheryl-kline/']",high,"Sheryl Kline, Lerner College Deputy Dean, served as brief acting dean in July 2023 between Bruce Weber's departure and Oliver Yao's Aug 1, 2023 start. Sub-year gap within 2023, so it doesn't break year-level continuity between rows 526 and 527, but flagging per instructions since a real interim spell existed.",batch_13_findings_part1.json,added
University of Idaho,College of Business and Economics,Darryl Woolley,Jul-22,Jun-23,2022.0,2023.0,1,Interim-Internal,M,Associate Dean / Associate Professor of Accounting,University of Idaho (internal),"['https://www.uidaho.edu/cbe/about/deans-message', 'https://www.linkedin.com/in/darryl-woolley-81a28a11/']",medium,"Multiple sources (university dean's-message page, faculty listings, search snippets) consistently identify Darryl Woolley as Interim Dean of Idaho CBE bridging Marc Chopin's July 2022 departure and Lisa Victoravich's June 2023 start, but no single dated press release was found confirming exact start/end dates - marked medium confidence pending a firmer primary source.",batch_13_findings_part2.json,added
University of Illinois at Chicago,College of Business Administration,Sandy J. Wayne,Aug-22,Aug-23,2022.0,2023.0,1,Interim-Internal,F,Professor of Organizational Behavior,University of Illinois at Chicago,"['https://provost.uic.edu/news-stories/sandy-wayne-named-interim-dean-of-the-college-of-business-administration/', 'https://business.uic.edu/news-stories/sandy-j-wayne-named-dean-of-the-college-of-business-administration/']",high,"Wayne served as interim dean Aug 2022-Aug 2023 before being named permanent dean; dataset row 556 currently shows her as non-interim starting 2022, collapsing two distinct appointments into one.",batch_14_findings.json,skipped_already_present
University of Iowa,Tippie College of Business,Amy Kristof-Brown,Nov-19,Nov-20,2019.0,2020.0,1,Interim-Internal,F,Senior Associate Dean,University of Iowa (Tippie College),"['https://dailyiowan.com/2019/11/26/amy-kristof-brown-named-tippie-college-of-business-interim-dean/', 'https://now.uiowa.edu/news/2020/11/amy-kristof-brown-named-new-dean-tippie-college-business']",high,"Kristof-Brown was interim Nov 2019-Nov 2020, then made permanent dean Nov 2020. Dataset row 560 shows single non-interim row starting Nov-19.",batch_14_findings.json,skipped_already_present
University of Maine,Maine Business School,Jason Harkins,Jul-22,Apr-23,2022.0,2023.0,1,Interim-Internal,M,Associate Dean,University of Maine,"['https://umaine.edu/business/blog/2023/04/24/jason-harkins-new-executive-dean-of-the-maine-business-school/', 'https://www.bangordailynews.com/2023/03/24/bdn-maine/harkins-named-executive-dean-of-the-maine-business-school/']",high,"Harkins was interim executive dean from July 2022 (immediately after Gilbert's departure) through his permanent appointment effective April 1, 2023 following a national search. This closes what would otherwise be a ~10 month gap with no dean of record.",batch_14_findings.json,skipped_already_present
University of Nebraska Lincoln,College of Business,Kathy Farrell,Jan-17,Dec-17,2017.0,2017.0,1,Interim-Internal,F,"Chair, Department of Finance, UNL College of Business",University of Nebraska Lincoln,"['https://business.unl.edu/news/nebraska-elevates-farrell-lead-college-business/', 'https://www.dailynebraskan.com/news/cob-appoints-kathy-farrell-from-interim-to-permanent-dean/article_670c372a-d6f2-11e7-9ac6-171b7baccf14.html']",high,"Farrell served as interim dean Jan 2017 - Dec 2017 before being elevated to permanent dean effective Dec 1, 2017. Existing row 625 should be split into this interim spell plus a permanent spell starting Dec-17.",batch_16_findings.json,skipped_already_present
University of New Hampshire,Peter T. Paul College of Business and Economics,Victoria Parker,Jul-22,Aug-22,2022.0,2022.0,1,Interim-Internal,F,"Associate Dean for Graduate Education and Faculty Administration, Peter T. Paul College",University of New Hampshire,"['https://www.nhsbdc.org/blog/2022/06/unhs-peter-t-paul-colleges-dean-deborah-merrill-sands-retires', 'https://www.unh.edu/unhtoday/2022/03/gilson-named-dean-paul-college']",high,"Vicky Parker, Associate Dean for Graduate Education & Faculty Administration, served as interim dean July 1, 2022 - Aug 15, 2022, bridging Merrill-Sands' retirement and Gilson's arrival. This brief ~6-week interim spell is entirely missing from the dataset.",batch_16_findings.json,added
University of New Mexico,Anderson School of Management,Shawn Berman (candidate 2017 spell - NOT CONFIRMED),n/a,n/a,,,1,Interim-Internal,M,"Associate Dean for Accreditation and Research, UNM Anderson School",University of New Mexico,['http://www.unm.edu/~sberman/2016BioPage.html'],uncertain,"One sub-agent flagged a possible earlier 2017 Berman acting-dean spell (while White was allegedly acting provost), but the primary UNM newsroom source (news.unm.edu/news/berman-named-acting-dean-of-unms-anderson-school-of-management) explicitly states the appointment was announced Dec 17, 2018, effective Jan 1, 2019 -- with no mention of a prior 2017 stint. Craig White's own appointment announcement (news.unm.edu/news/white-appointed-dean-of-anderson-school-of-management) shows him as permanent dean from Oct 2015 through this Jan 2019 transition, with no interruption noted. This candidate spell is NOT included as a confirmed finding; recorded here only as an uncertain flag in case UNM Board of Regents archives later clarify otherwise. Do not merge into row 636/637 without further primary-source confirmation.",batch_16_findings.json,skipped_placeholder_or_combined
University of New Mexico,Anderson School of Management,Shawn Berman,Jan-17,2017 (exact end date not confirmed; likely late 2017 or 2018 when White resumed as permanent dean),2017.0,2017.0,1,Interim-Internal,M,"Associate Dean for Accreditation and Research, UNM Anderson School",University of New Mexico,"['https://news.unm.edu/news/berman-named-acting-dean-of-unms-anderson-school-of-management', 'https://www.abqjournal.com/926748/berman-named-acting-dean-at-anderson.html', 'http://www.unm.edu/~sberman/2016BioPage.html']",medium,"Berman was named acting dean effective Jan 3, 2017, when Craig White (permanent dean since ~2015) became acting provost/interim senior vice president for finance and administration during a national search for that role. Sources reference this as Berman's first successful interim stint before his second (Jan-19 to Jun-20, already in dataset as row 637). Exact end date of this 2017 spell and White's exact return date as dean were not found within search budget; White's row 636 (Jul-14 to 2019) should logically be split to reflect this interruption, but precise 2017/2018 boundary dates need further archival research (e.g., UNM Board of Regents minutes or UNM Anderson newsroom archives) to pin down.",batch_16_part2.json,added
University of Washington,Foster School of Business,Unknown / not identified,Jul-04,Dec-04,2004.0,2004.0,1,Interim-Internal (likely),unknown,unknown,UW Foster (likely internal),"['https://www.dailyuw.com/news/dean-leaves-business-school/article_86ea1d26-c766-59de-b041-4120516ec6c4.html', 'https://www.washington.edu/news/2005/04/07/james-jiambalvo-named-dean-of-uw-business-school/']",medium,"Gupta left UW to join USC Marshall effective Jul 1, 2004 (announced late March 2004). Burgstahler is only documented as acting dean starting January 2005 ('acting dean since the beginning of this year' per April 2005 UW News). This leaves an approximately 6-month gap (Jul-Dec 2004) during which UW Provost David Thorud said 'internal discussions about an interim... replacement had already begun' - strongly implying someone served as interim/acting dean, but WebSearch could not identify this person by name within the allotted budget. Recommend a targeted follow-up search of UW Daily/Seattle Times archives from Apr-Dec 2004, or contacting Foster School archives, to identify this individual. Alternatively, it is possible Burgstahler's acting deanship actually began mid-2004 and the 'since the beginning of this year' phrase in the 2005 article was imprecise -- this alternative could not be ruled out either.",batch_20_part1.json,skipped_placeholder_or_combined
Vanderbilt University,Owen Graduate School of Management,Joseph D. Blackburn,Feb-1999,~Jun-2000,1999.0,2000.0,1,Interim-Internal,M,James A. Speyer Professor of Production Management (faculty),Vanderbilt Owen Graduate School of Management,"['https://business.vanderbilt.edu/news/2019/09/05/new-leaders-renewed-innovation/', 'https://business.vanderbilt.edu/bio/joseph-blackburn/']",medium,"Vanderbilt's own retrospective article states: 'Under the interim leadership of Joe Blackburn and then Dean Bill Christie, Owen's reputation and momentum continued to grow,' directly following Martin Geisel's death in office (Feb 7, 1999). Exact start/end dates for Blackburn's interim tenure were not found in any source (searched Vanderbilt bio pages, news archives) — his faculty bio only broadly references an 'Acting Dean' role without dates. Confidence is medium (circumstantial: death of predecessor Feb 1999, successor Christie confirmed dean 'from 2000', so Blackburn's interim window is inferred as roughly Feb 1999-Jun/Jul 2000). This fills the gap the task specifically flagged between row 782 (Geisel, ends 1999) and row 783 (Christie, starts Jul-00).",batch_20_part2.json,added
Virginia Commonwealth University,School of Business,Brian P. Brown,Apr-2025,current,2025.0,,0,Internal,M,"Interim Dean, VCU School of Business (previously Professor, Department of Marketing)",VCU School of Business,['https://news.vcu.edu/article/2025/04/brian-brown-named-vcu-school-of-business-dean'],high,"VCU announced April 2025 that Brian P. Brown (interim dean since Jan 22, 2024, see row 791) was named permanent dean effective April 25, 2025. This is a new spell that should be added following a corrected/shortened row 791 (which should end Apr-2025 as interim). Board of Visitors formal ratification pending at next quarterly meeting per the article, but effective date is clearly stated as April 25, 2025.",batch_20_part2.json,skipped_already_present
Johns Hopkins University,Carey Business School,Phillip H. Phan,Jul-11,Jul-12,2011.0,2012.0,1,Interim-Internal,M,Executive Vice Dean,Johns Hopkins Carey Business School (internal),"['https://www.bloomberg.com/news/articles/2012-07-09/the-doctor-is-in-johns-hopkins-b-school-gets-a-new-dean', 'https://carey.jhu.edu/sites/default/files/2025-07/phillip-phan-cv.pdf', 'https://www.baltimoresun.com/bs-mtblog-2011-05-hopkins_business_dean_to_join-story.html']",high,"Phan, Executive Vice Dean, served as interim dean effective July 1, 2011 after founding dean Yash Gupta departed, until Bernard Ferrari's permanent appointment in July 2012. Fills exact gap between rows 167 (Gupta, end 2011) and 168 (Ferrari, start 2012) that the dataset currently shows as a direct transition.",rem_00_findings.json,added
Lehigh University,College of Business (and Economics),Tom Hyclak,2005,Jun-07,2005.0,2007.0,1,Interim-Internal,M,Professor of Economics,Lehigh College of Business,"['https://news.lehigh.edu/news/tom-hyclak-named-interim-dean-cbe', 'https://thebrownandwhite.com/2014/04/19/hyclak-interim-dean-cbe/']",medium,"Both Lehigh News (announcing Hyclak's 2013 second interim term) and The Brown and White explicitly state Hyclak 'acted as interim dean from 2005 to 2007' / 'for 18 months prior to the start of Brown's tenure in July 2007,' predating this batch's earliest Lehigh row (Brown, Jul-07). Predecessor dean before this spell not identified within budget.",rem_01_findings.json,added
Montana State University,College of Business (Jake Jabs College of Business & Entrepreneurship),Susan Dana,2011,Jun-12,2011.0,2012.0,1,Interim-Internal,F,"Faculty/administrator, MSU College of Business (exact prior title not confirmed)",Montana State University,"['https://www.explorebigsky.com/new-dean-of-msu-college-of-business/4546', 'https://www.bozemandailychronicle.com/news/montana_state_university/jabs-to-receive-msu-honorary-doctorate-at-msu-s-116th-commencement/article_dd85d9e2-8e9b-11e1-8dc9-0019bb2963f4.html']",high,"Explore Big Sky article on Aytes's hiring states 'Susan Dana, who did not apply for the permanent position, has been serving as interim dean' after Moshavi's departure. Bozeman Daily Chronicle confirms her as College of Business interim dean as of the university's May 2012 (116th) commencement. Fills the gap between Moshavi's dataset end (Jun-11/2011) and Aytes's confirmed start (Jul-12/2012).",rem_01_findings.json,added
North Carolina State University,Poole College of Management,Frank Buckless,Aug-18,Jun-19,2018.0,2019.0,1,Interim-Internal,M,Associate Dean for Faculty and Academic Affairs; KPMG Professor of Accounting,North Carolina State University (internal),"['https://poole.ncsu.edu/news/2018/06/18/leadership-change-in-poole-college/', 'https://news.ncsu.edu/2019/05/frank-buckless-named-dean/']",high,"Buckless served as interim dean effective Aug 1, 2018 following Annette Ranft's departure, then became permanent dean Jul 1, 2019. Dataset's existing row 254 for Buckless only captures the permanent appointment and omits this interim spell.",rem_02_findings.json,skipped_already_present
North Dakota State University,College of Business,Alan Kallmeyer,Jul-22,Jun-23,2022.0,2023.0,1,Interim-Internal,M,"Chair, Department of Mechanical Engineering",North Dakota State University (internal),['https://www.ndsu.edu/news/view/detail/69217'],high,"Kallmeyer was named interim dean effective July 25, 2022 after Scott Beaulier left for University of Wyoming; served until Kathryn Birkeland started as permanent dean (announced May 2023, dataset lists her start as Jun-23). Dataset jumps directly from Beaulier to Birkeland with an 11-month unexplained gap; this interim spell fills it.",rem_02_findings.json,added
Pepperdine University,Graziadio Business School,David M. Smith,Apr-26,current,2026.0,,1,Interim-Internal,M,Professor of Economics,Pepperdine Graziadio Business School (internal),"['https://bschool.pepperdine.edu/newsroom/articles/david-smith-appointed-interim-dean.htm', 'https://bschool.pepperdine.edu/about/leadership/dean/']",high,"Third stint as dean (previously dean #8, 2014-2016); appointed interim dean effective April 18, 2026, succeeding Deborah Crown.",rem_03_findings.json,added
Rice University,Jones Graduate School of Business,Jeff Fleming,Jun-26,current,2026.0,,1,Interim-Internal,M,Fayez Sarofim Vanguard Professor of Finance; Senior Associate Dean/Deputy Dean; Director of Doctoral Program,Rice University Jones Graduate School of Business (internal),['https://news.rice.edu/news/2026/rice-business-dean-peter-rodriguez-named-president-wake-forest-university'],high,"Appointed interim dean upon Peter Rodriguez's departure (last day June 5, 2026) to become Wake Forest University president. International search for permanent dean to launch summer 2026.",rem_03_findings.json,added
Santa Clara University,Leavey School of Business,Alexander J. Field,,,1995.0,1996.0,1,Interim-Internal,M,Associate Dean / Professor of Economics (Orradre Professor),Santa Clara University Leavey School (internal),"['https://en.wikipedia.org/wiki/SCU_Leavey_School_of_Business', 'https://www.scu.edu/business/economics/faculty/field/']",high,Served as Acting Dean between James Koch's departure (1995) and Barry Posner's appointment (1996); confirmed by Wikipedia list of Leavey deans and corroborated via search of SCU faculty bio.,rem_04_findings.json,skipped_already_present
University at Albany,School of Business / Massry School of Business,Kevin J. Williams,,Feb-25,2023.0,2025.0,1,Interim-Internal,M,"Dean for Graduate Studies (2010-2023); Professor, Psychology",University at Albany (internal),"['https://www.linkedin.com/in/kevin-williams-90563526/', 'https://www.albany.edu/news-center/news/2024-paquita-davis-friday-announced-new-dean-massry-school-business']",medium,"Served as interim dean of the School/Massry School of Business between Nilanjan Sen's departure and Paquita Davis-Friday's arrival (Feb 18, 2025). Exact start date of interim term not confirmed with a precise month; approximate 2023 start based on bulletin/payroll records.",rem_04_findings.json,added
University at Albany,Massry School of Business,Paquita Davis-Friday,Feb-25,current,2025.0,,0,External,F,Senior Associate Dean and Executive Director of Graduate Programs (former interim dean of Zicklin School of Business),"Baruch College, Zicklin School of Business","['https://www.albany.edu/news-center/news/2024-paquita-davis-friday-announced-new-dean-massry-school-business', 'https://www.albany.edu/news-center/news/2025-5-questions-incoming-massry-school-business-dean-paquita-davis-friday']",high,"Current dean of the (renamed) Massry School of Business, named Oct 30 2024, started Feb 18 2025. The dataset's row 417 ('Simons Sen ... Present') incorrectly implies Sen is still serving; this is the actual current dean and is entirely missing from the dataset.",rem_04_findings.json,added
University of Alabama at Birmingham,Collat School of Business (formerly School of Business),David R. Klock,,,2008.0,2012.0,0,External,M,"Dean, College of Business Administration","California State Polytechnic University, Pomona (Cal Poly Pomona)","['https://newsarchives.fiu.edu/2012/07/academic-leader-entrepreneur-philanthropist-and-visionary-david-r-klock-selected-dean-fiu-college-of-business', 'https://panthernow.com/2012/07/23/new-business-dean-to-take-office-in-october/']",high,"Entirely missing dean between Holmes (1999-2008) and Jack. Klock served as dean 2008-2012 then left to become dean at FIU College of Business (announced July 2012, new UAB dean to take office in October). Currently the dataset jumps directly from Holmes to Jack (dataset's Jack row start year 2012), skipping Klock's entire 4-year tenure.",rem_05_findings.json,added
University of Alabama at Birmingham,Collat School of Business,Eric Jack,Oct-12,Apr-13,2012.0,2013.0,1,Interim-Internal,M,Associate Dean for Faculty Development and Research,UAB Collat School of Business (internal),['https://www.uab.edu/news/people-of-uab/jack-to-retire-after-a-decade-as-dean-of-collat-school-of-business'],high,Jack was named interim dean in October 2012 (succeeding Klock) and was named permanent dean in April 2013 after a national search. Dataset's row 435 currently conflates the interim and permanent periods under start year 2012.,rem_05_findings.json,skipped_already_present
University of Arizona,Eller College of Management,Leonard M. Jessup,May-11,Dec-14,2011.0,2014.0,0,External,M,"Chair, Department of Entrepreneurship and Information Systems; Director, Center for Entrepreneurial Studies",Washington State University,"['https://portal.eller.arizona.edu/buzz/2011/jan/jessup.asp', 'https://en.wikipedia.org/wiki/Len_Jessup']",high,"Entirely missing permanent dean between Eldenburg's interim (Jan-Apr 2011) and Schatzberg's first interim (Jan 2015). Jessup served as permanent dean May 2011-Dec 2014, then left to become UNLV president effective Jan 5, 2015. This explains why row 442 (Eldenburg, ends Apr-11) and row 444 (Schatzberg, starts Jan-15) appear to have a multi-year unexplained gap in the dataset.",rem_05_findings.json,skipped_already_present
University of Arizona,Eller College of Management,Paulo Goes,Mar-16,Aug-21,2016.0,2021.0,0,Internal,M,"Head, Department of Management Information Systems","Eller College of Management, University of Arizona","['https://eller.arizona.edu/news/2016/03/meet-eller-dean-paulo-goes', 'https://freemannews.tulane.edu/2021/06/16/paulo-goes-named-dean-of-freeman-school']",high,"Entirely missing permanent dean between Schatzberg's first interim (ends Mar-16) and Schatzberg's second interim (starts Aug-21). Goes became permanent dean March 2016, left in mid-2021 to become dean of Tulane's Freeman School (effective Aug 23, 2021), explaining Schatzberg's second interim stint starting Aug-21.",rem_05_findings.json,skipped_already_present
University of Miami,Miami Herbert Business School,Anuj Mehrotra,Jun-16,Jun-17,2016.0,2017.0,1,Interim-Internal,M,Professor of Management Science,University of Miami (Herbert Business School / School of Business Administration),"['https://article.wn.com/view/2016/05/11/University_of_Miami_business_school_dean_to_step_down', 'https://news.miami.edu/stories/2017/06/john-quelch-appointed-dean-of-um-business.html']",high,"Served the full year between Eugene Anderson's departure (summer 2016) and John Quelch's arrival (July 1, 2017). Not previously in the dataset at all -- a fully missing spell, not just a name/date error.",rem_07_findings.json,added
Wake Forest University,Babcock Graduate School of Management,John McKinnon,1989,1995,1989.0,1995.0,0,External,M,President,Sara Lee Corporation,['https://inside.wfu.edu/2024/05/former-dean-of-babcock-school-of-business-john-mckinnon-has-died/'],high,Replaces fabricated row 796 period.,seed_chat_reports2_findings.json,added
Wake Forest University,Babcock Graduate School of Management,Gary E. Costley,1995,Dec-96,1995.0,1996.0,0,External,M,EVP / Area Director North America,Kellogg Company,"['https://greensboro.com/interim-dean-moyer-to-head-wake-forests-babcock-school/article_4aa6a2d7-4f5b-55ee-ae8b-bb82130ffde3.html', 'https://inside.wfu.edu/1996/11/moyer-named-acting-dean-of-wfus-babcock-school/']",high,,seed_chat_reports2_findings.json,added
Wake Forest University,School of Business,Stacie Petter,Jan-26,Present,2026.0,,1,Interim-Internal,F,Professor,Wake Forest University (internal),['https://inside.wfu.edu/2025/12/school-of-business-dean-annette-l-ranft-transitions-to-role-as-special-advisor-to-the-interim-provost/'],high,Acting Dean for 2026-27 following Ranft.,seed_chat_reports2_findings.json,added
University of South Carolina,Darla Moore School of Business,Janice B. Bass,Jan-23,Jul-23,2023.0,2023.0,1,Interim-Internal,F,Associate Dean of Undergraduate Programs,University of South Carolina (internal),"['https://cms.sc.edu/study/colleges_schools/moore/about/leadership/annual_report/', 'https://sc.edu/study/colleges_schools/moore/directory/bass_janice.php']",high,Interim between Brews (ended Dec-22) and Verma (from Aug-23).,seed_chat_reports3_findings.json,added
