row,field,action,old,new,evidence,confidence,src
81,appointment_end_month_year,applied,Present,Jun-26,https://source.colostate.edu/celebrating-college-of-business-dean-beth-walkers-leadership/,high,batch_02_findings.json
81,appointment_end_year,applied,,2026,https://source.colostate.edu/celebrating-college-of-business-dean-beth-walkers-leadership/,high,batch_02_findings.json
81,next_role,applied,,Retired_or_emeritus,https://collegian.com/articles/news/2026/03/category-news-beth-walker-retires-as-dean-of-college-of-business/,high,batch_02_findings.json
85,appointment_end_month_year,applied,1996,Jul-96,https://news.cornell.edu/stories/1996/03/alan-g-merten-named-president-george-mason-university,medium,batch_02_findings.json
105,end_month_year,skipped_unknown_field,Jul-14,Feb-13,https://news.emory.edu/stories/2013/02/er_take_note_benveniste_GBS_dean/campus.html,high,batch_03_findings_part1.json
105,appointment_end_year,applied,2013,2013,https://en.wikipedia.org/wiki/Lawrence_Benveniste,high,batch_03_findings_part1.json
111,prior_position_title,applied,Vice Dean for Administration,"Vice Dean of Administration (appointed Nov 28, 2013)",https://worldcityweb.com/fiu-names-aldrich-as-vice-dean-at-business-school,high,batch_03_findings_part1.json
113,is_interim,skipped_old_mismatch,0,"should be flagged as interim starting May 2021, then permanent dean starting ~May 2022",https://biznews.fiu.edu/2021/05/william-hardin-appointed-interim-dean-of-fiu-business/,high,batch_03_findings_part1.json
113,prior_position_title,skipped_old_mismatch,Associate Dean; Director Hollo School of Real Estate,"Associate Dean, Chapman Graduate School of Business (also Ryder Eminent Scholar Chair, Hollo School of Real Estate)",https://news.fiu.edu/2022/real-estate-scholar-william-g.-hardin-to-lead-fius-college-of-business,high,batch_03_findings_part1.json
116,appointment_start_month_year,applied,2004,2005,https://wertheim.fsu.edu/feature/joe-nosari,medium,rem_00_findings.json
116,appointment_start_year,applied,2004,2005,https://wertheim.fsu.edu/feature/joe-nosari,medium,rem_00_findings.json
120,prior_institution,applied,Arizona State University (W.P. Carey School of Business),University of Missouri (Trulaske College of Business),https://www.gmu.edu/news/2022-04/ajay-vinze-named-dean-george-mason-university-school-business,high,rem_00_findings.json
120,prior_position_title,applied,Earl and Gladys Davis Distinguished Professor; Associate Dean,"Dean, Trulaske College of Business",https://www.gmu.edu/news/2022-04/ajay-vinze-named-dean-george-mason-university-school-business,high,rem_00_findings.json
124,appointment_end_month_year,applied,Aug-14,Aug-13,https://gwhatchet.com/2013/08/22/doug-guthrie-out-as-business-school-dean-vice-president/,high,rem_00_findings.json
126,next_role,applied,Retired_or_emeritus,Another_deanship,https://business.gwu.edu/vivek-choudhury-named-dean-university-denver-daniels-college-business,high,rem_00_findings.json
126,prior_position_title,applied,Faculty/Administrator (exact title unknown),Associate Dean for Graduate Programs and Professor of Information Systems and Technology Management,https://gwhatchet.com/2017/04/21/gw-announces-interim-dean-for-the-school-of-business/,high,rem_00_findings.json
138,appointment_end_year,skipped_old_mismatch,2006,2006,https://www.scheller.gatech.edu/directory/faculty/blum/index.html,medium,batch_03_findings_part3.json
157,is_duplicate_row,applied,,1,https://blog.kelley.iu.edu/2023/04/13/ash-soni-named-dean-of-iu-kelley-school-of-business-vice-deans-named-for-bloomington-and-indianapolis/,high,seed_iu_indianapolis_findings.json
158,is_duplicate_row,applied,,1,https://blog.kelley.iu.edu/2023/04/13/ash-soni-named-dean-of-iu-kelley-school-of-business-vice-deans-named-for-bloomington-and-indianapolis/,high,seed_iu_indianapolis_findings.json
159,is_duplicate_row,applied,,1,https://blog.kelley.iu.edu/2025/02/25/indiana-university-appoints-patrick-e-hopkins-as-new-dean-of-the-kelley-school-of-business/,high,seed_iu_indianapolis_findings.json
168,appointment_start_month_year,applied,2012,Jul-12,https://www.bloomberg.com/news/articles/2012-07-09/the-doctor-is-in-johns-hopkins-b-school-gets-a-new-dean,high,rem_00_findings.json
170,appointment_start_month_year,applied,1988,1984,https://cba.k-state.edu/about/history/deans.html,medium,rem_01_findings.json
170,appointment_start_year,applied,1988,1984,https://cba.k-state.edu/about/history/deans.html,medium,rem_01_findings.json
171,appointment_start_month_year,applied,1990,1992,https://cba.k-state.edu/about/history/deans.html,medium,rem_01_findings.json
171,appointment_start_year,applied,1990,1992,https://cba.k-state.edu/about/history/deans.html,medium,rem_01_findings.json
182,prior_position_title,applied,"Vice Dean, Undergraduate Division",Vice Dean for Technology Enhanced Learning,https://news.lehigh.edu/georgette-chapman-phillips-the-wharton-school-tapped-as-dean-of-college-of-business-and-economics,medium,rem_01_findings.json
184,appointment_end_month_year,applied,Jun-96,1995,https://www.lsu.edu/business/about/dean.php,high,rem_01_findings.json
184,appointment_end_year,applied,1996,1995,https://www.lsu.edu/business/about/dean.php,high,rem_01_findings.json
190,is_interim,applied,0,1,https://www.businessreport.com/article/white-tapped-as-interim-dean-of-lsus-e-j-ourso-college-of-business,high,rem_01_findings.json
193,origin_category,applied,Internal,External,https://www.loyola.edu/sellinger-business/faculty-research/directory/lorenzi.html,high,rem_01_findings.json
194,prior_institution,applied,West Virginia University or Butler University,West Virginia University,https://umonarch.ch/faculty/dr-dahringer/,medium,rem_01_findings.json
206,has_prior_dean_exp,applied,1,0,https://www.miamioh.edu/fsb/fsbnews/?up=/news/121207105010+Roger+Jenkins+Honored+as+Retiring+Dean&arc=12,medium,batch_05_findings_part4.json
206,origin_category,applied,Internal,External,https://www.insidehighered.com/quicktakes/2012/08/30/business-dean-retire-amid-scrutiny-his-past-business,high,batch_05_findings_part4.json
206,prior_institution,applied,University of Tennessee,Wake Forest University,https://www.miamioh.edu/fsb/fsbnews/?up=/news/121207105010+Roger+Jenkins+Honored+as+Retiring+Dean&arc=12,high,batch_05_findings_part4.json
206,prior_position_title,applied,Professor of Marketing,"F.M. Kirby Chair in Business Excellence, Wake Forest University",https://www.miamioh.edu/fsb/fsbnews/?up=/news/121207105010+Roger+Jenkins+Honored+as+Retiring+Dean&arc=12,high,batch_05_findings_part4.json
213,prior_institution,applied,,Michigan State University (Eli Broad College of Business),https://msutoday.msu.edu/news/2000/msu-board-of-trustees-names-donald-j-bowersox-interim-dean-of-eli-broad-college-of-business,high,batch_05_findings_part5.json
213,prior_position_title,applied,,"University Professor of Business Administration (John H. McConnell Chair), Dept. of Marketing and Supply Chain Management",https://msutoday.msu.edu/news/2000/msu-board-of-trustees-names-donald-j-bowersox-interim-dean-of-eli-broad-college-of-business,high,batch_05_findings_part5.json
221,origin_category,applied,Internal,External,https://www.newsarchive.msstate.edu/newsroom/article/2019/08/former-msu-college-business-dean-harvey-lewis-dies-80,high,batch_05_findings_part5.json
221,prior_position_title,skipped_old_mismatch,Dean of Business Administration,Associate Dean of Business,https://www.newsarchive.msstate.edu/newsroom/article/2019/08/former-msu-college-business-dean-harvey-lewis-dies-80,high,batch_05_findings_part5.json
223,origin_category,applied,Unknown,External,https://www.newsarchive.msstate.edu/newsroom/article/1998/06/university-houston-dean-head-msu-college-business,high,batch_05_findings_part5.json
227,prior_institution,applied,Mississippi State University (likely),Auburn University,https://www.msstate.edu/newsroom/article/2022/07/msu-business-dean-sharon-oswald-retire-2023,high,batch_05_findings_part5.json
227,prior_position_title,applied,Professor,"Colonel George Privett Professor of Management and Head, Department of Management, Auburn University (12 years as department head; 24 years total at Auburn)",https://www.msstate.edu/newsroom/article/2022/07/msu-business-dean-sharon-oswald-retire-2023,high,batch_05_findings_part5.json
234,origin_category,applied,External,Internal,https://bozemanmagazine.com/news/2023/10/31/118930-montana-state-selects-new-business-college-dean,high,rem_01_findings.json
239,prior_position_title,applied,Professor,Vice Dean for MBA and Graduate Programs (also Catherine and Peter Kellner Professor of Entrepreneurship),https://www.stern.nyu.edu/jp-eggers-appointed-interim-dean-nyu-stern,high,rem_02_findings.json
241,prior_institution,applied,University of Missouri-Columbia,"Florida A&M University (Missouri-Columbia was where he earned his PhD, not his last job before NC A&T)",https://ncat.edu/news/2024/12/quiester-craig.php,medium,rem_02_findings.json
250,prior_position_title,applied,Faculty/Administrator,"Dean, business school, Michigan State University",https://poole.ncsu.edu/about/history/,high,rem_02_findings.json
251,appointment_start_month_year,applied,1999,1999,https://poole.ncsu.edu/about/history/,high,rem_02_findings.json
251,appointment_start_year,applied,1999,1999,https://poole.ncsu.edu/about/history/,high,rem_02_findings.json
252,gender,applied,F,M,https://mgt.ncsu.edu/pdfs/news/COM_PORTFOLIO_SP05_72.PDF,high,rem_02_findings.json
254,appointment_start_month_year,applied,Jul-19,Jul-19 (permanent); NOTE: he was already INTERIM dean starting Aug-18 - see missing_spells,https://poole.ncsu.edu/news/2018/06/18/leadership-change-in-poole-college/,high,rem_02_findings.json
265,next_role,applied,Deceased,"Medical_leave (stepped down effective Jul 1, 2026 due to a serious medical issue, per Northeastern's own announcement; not confirmed deceased)",https://huntnewsnu.com/91298/campus/breaking-coe-dmsb-deans-to-leave-positions-july-1/,high,rem_02_findings.json
278,start_month_year,skipped_unknown_field,Jun-25,"Jun-25 (effective June 1, 2025)",https://news.osu.edu/aravind-chandrasekaran-appointed-as-interim-dean-of-fisher-college-of-business/,high,batch_07_findings_part1.json
279,note,skipped_unknown_field,N/A,"Kelley was the 9th dean of the College of Business; stepped down in 1996 amid a scandal (affair with his secretary became public), not a routine departure.",https://www.uwire.com/2010/04/12/former-dean-under-fire-for-questionable-relationships/,high,batch_07_findings_part1.json
279,dean_name,applied,Thomas Kelley,C. Aaron Kelley,https://academic-sexual-misconduct-database.org/person/aaron-kelley,high,batch_07_findings_part1.json
280,dean_name,applied,David Stinson,John E. Stinson,https://sites.ohio.edu/gcatalog-archive/95-97/admin.html,high,batch_07_findings_part1.json
281,prior_position_title,applied,Industry Executive,"Executive Vice President and COO, N.W. Ayer & Partners (advertising agency); previously CPA/partner at Price Waterhouse",https://ohio.scalefunder.com/cfund/project/26667,high,batch_07_findings_part1.json
282,end_year / end_month,skipped_unknown_field,2021 (implied full year as dean),"Sherman stepped down as dean in January 2021 (per Athens Messenger: 'stepping down in January 2021 with plans to return to faculty'), then was named Ohio University's 22nd President by the Board of Trustees, effective June 14, 2021. He held the 'Corlett Chair of Strategy' as a named professorship, not related to dean James Corlett's tenure order.",https://www.athensmessenger.com/news/dr-hugh-sherman-former-college-of-business-dean-appointed-22nd-ohio-university-president/article_3d2d2a3c-70e5-57f4-a6eb-3a7eca79d5a8.html,medium,batch_07_findings_part1.json
283,start_month_year,skipped_unknown_field,2021,"February 1, 2021 (announced Dec 2020, effective Feb 1 2021 per Q&A article dated March 2021 referring to her as 'new dean')",https://www.ohio.edu/news/2021/03/qa-dr-jackie-rees-ulmer-new-college-business-dean,high,batch_07_findings_part1.json
283,end_month_year,skipped_unknown_field,2026,"June 2026 (stepping down after 5.5 years in role, returning to teaching)",https://www.ohio.edu/news/2026/02/jackie-rees-ulmer-step-down-college-business-dean-katie-hartman-serve-interim-dean,high,batch_07_findings_part1.json
283,dean_name,applied,Lori Ulmer,Jackie Rees Ulmer,https://www.ohio.edu/news/2020/12/jackie-rees-ulmer-named-dean-college-business,high,batch_07_findings_part1.json
283,prior_position_title,skipped_old_mismatch,Associate Dean,"Union Pacific Professor of Information Systems and Associate Dean for Undergraduate Programs, chair of Dept. of Supply Chain and Information Systems, Ivy College of Business, Iowa State University",https://www.ohio.edu/news/2020/12/jackie-rees-ulmer-named-dean-college-business,high,batch_07_findings_part1.json
284,start_month_year,skipped_unknown_field,2026,"July 1, 2026",https://www.ohio.edu/news/2026/02/jackie-rees-ulmer-step-down-college-business-dean-katie-hartman-serve-interim-dean,high,batch_07_findings_part1.json
284,dean_name,applied,Beth Hartman,Katie Hartman,https://www.ohio.edu/news/2026/02/jackie-rees-ulmer-step-down-college-business-dean-katie-hartman-serve-interim-dean,high,batch_07_findings_part1.json
284,prior_position_title,skipped_old_mismatch,Associate Dean,Professor of Marketing (joined COB 2012); Vice Provost for Faculty Development; former Marketing Department Chair (4 years),https://www.ohio.edu/news/2026/02/jackie-rees-ulmer-step-down-college-business-dean-katie-hartman-serve-interim-dean,high,batch_07_findings_part1.json
286,end date,skipped_unknown_field,Dec-04,Aug-04,https://www.ocolly.com/dean-lumpkin-retires-from-office/ (via search snippet),medium,batch_07_findings_part2.json
286,origin_category,applied,Internal,External,https://twu.edu/business/faculty-staff/james-r-lumpkin-phd/ (via search snippet); https://www.ocolly.com/dean-lumpkin-retires-from-office/article_515085a8-e2cf-5dd5-a2c5-f137172fd4df.html,high,batch_07_findings_part2.json
286,prior_institution,skipped_old_mismatch,"Unknown (previous deanships at Bradley U, Louisiana Tech)",University of Southwestern Louisiana,https://twu.edu/business/faculty-staff/james-r-lumpkin-phd/ (search snippet biography),medium,batch_07_findings_part2.json
286,prior_position_title,applied,Unknown,Associate Dean (and Gene Brauns Chair professor),https://twu.edu/business/faculty-staff/james-r-lumpkin-phd/ (search snippet biography),medium,batch_07_findings_part2.json
287,start_month_year,skipped_unknown_field,Jan-05,Aug-04,https://www.unr.edu/nevada-today/news/2007/mosier-appointed-dean-of-the-college-of-business-administration,high,batch_07_findings_part2.json
287,end_month_year,skipped_unknown_field,Jun-06,Jul-06,https://www.unr.edu/nevada-today/news/2007/mosier-appointed-dean-of-the-college-of-business-administration,high,batch_07_findings_part2.json
293,dean_name (first name),skipped_unknown_field,Parker,Donald F. Parker,https://en.wikipedia.org/wiki/Oregon_State_University_College_of_Business,high,batch_07_findings_part2.json
294,dean_name (first name),skipped_unknown_field,Surendra Randhawa,Sabah Randhawa,https://en.wikipedia.org/wiki/Oregon_State_University_College_of_Business,high,batch_07_findings_part2.json
296,prior_institution,skipped_old_mismatch,Arizona State University (W.P. Carey School),"Arizona State University (university-wide role, not W.P. Carey specifically)",https://today.oregonstate.edu/archives/2015/jul/osu-names-asu-vice-president-dean-college-business,medium,batch_07_findings_part2.json
296,prior_position_title,applied,Associate Dean for Research,Vice President and University Dean of Entrepreneurship and Innovation,https://today.oregonstate.edu/archives/2015/jul/osu-names-asu-vice-president-dean-college-business,medium,batch_07_findings_part2.json
297,dean_name (first name),skipped_unknown_field,Jill Coakley,Jim Coakley,https://leadership.oregonstate.edu/provost/jim-coakley-appointed-interim-dean-college-business,high,batch_07_findings_part2.json
297,gender,skipped_old_mismatch,F,Male,https://www.linkedin.com/in/jim-coakley-678784/,high,batch_07_findings_part2.json
298,dean_name (first name),skipped_unknown_field,Carroll,Tim Carroll,https://leadership.oregonstate.edu/provost/dr-tim-carroll-appointed-dean-business,high,batch_07_findings_part2.json
298,appointment_start_year,applied,2021,"2021 (effective July 30, 2021)",https://leadership.oregonstate.edu/provost/dr-tim-carroll-appointed-dean-business,high,batch_07_findings_part2.json
310,dean_name,applied,Hammond,J.D. Hammond,https://www.psu.edu/news/academics/story/jd-hammonds-impact-penn-state-smeal-college-business-enduring-legacy,high,rem_03_findings.json
311,appointment_end_month_year,applied,2006,2005,https://www.psu.edu/news/university-park/story/olian-leave-penn-state-ucla,high,rem_03_findings.json
311,appointment_end_year,applied,2006,2005,https://www.psu.edu/news/university-park/story/olian-leave-penn-state-ucla,high,rem_03_findings.json
322,appointment_end_month_year,applied,current,Apr-26,https://bschool.pepperdine.edu/newsroom/articles/david-smith-appointed-interim-dean.htm,high,rem_03_findings.json
322,appointment_end_year,applied,,2026,https://bschool.pepperdine.edu/newsroom/articles/david-smith-appointed-interim-dean.htm,high,rem_03_findings.json
322,next_role,applied,Still_serving,Unknown,https://bschool.pepperdine.edu/newsroom/articles/david-smith-appointed-interim-dean.htm,high,rem_03_findings.json
330,prior_institution,applied,Franklin Financial Corp.,Uncertain -- not Franklin Financial Corp per available sources,https://en.wikipedia.org/wiki/Benjamin_F._Bailar,medium,rem_03_findings.json
330,prior_position_title,applied,President,"Uncertain -- likely an executive role at Continental Oil Company, American Can Company, or U.S. Gypsum",https://en.wikipedia.org/wiki/Benjamin_F._Bailar,medium,rem_03_findings.json
333,appointment_end_month_year,applied,current,Jun-26,https://news.rice.edu/news/2026/rice-business-dean-peter-rodriguez-named-president-wake-forest-university,high,rem_03_findings.json
333,appointment_end_year,applied,,2026,https://news.rice.edu/news/2026/rice-business-dean-peter-rodriguez-named-president-wake-forest-university,high,rem_03_findings.json
333,next_role,applied,Still_serving,Provost_president_chancellor,https://news.wfu.edu/2026/05/20/peter-rodriguez-named-15th-president-of-wake-forest-university/,high,rem_03_findings.json
334,prior_institution,applied,Virginia Commonwealth University,University of Memphis,https://now.fordham.edu/business-and-economics/tuckman-named-dean-of-graduate-school-of-business/,medium,rem_03_findings.json
335,appointment_start_month_year,applied,2007,2006,https://engineering.nyu.edu/news/poly-alum-rosa-oppenheim-appointed-acting-dean-rutgers-business-school,medium,rem_03_findings.json
335,appointment_start_year,applied,2007,2006,https://engineering.nyu.edu/news/poly-alum-rosa-oppenheim-appointed-acting-dean-rutgers-business-school,medium,rem_03_findings.json
335,dean_name,applied,Oppenheim,Rosa Oppenheim,https://engineering.nyu.edu/news/poly-alum-rosa-oppenheim-appointed-acting-dean-rutgers-business-school,high,rem_03_findings.json
336,dean_name,applied,James Cooper,Michael R. Cooper,https://www.rutgers.edu/news/michael-r-cooper-appointed-dean-rutgers-business-school,high,rem_03_findings.json
336,prior_institution,applied,Stevens Institute of Technology / Opinion Research Corp,Cooper Interests LLC,https://www.rutgers.edu/news/michael-r-cooper-appointed-dean-rutgers-business-school,high,rem_03_findings.json
336,prior_position_title,applied,Executive/Research Firm,Chair and Managing Partner,https://www.rutgers.edu/news/michael-r-cooper-appointed-dean-rutgers-business-school,high,rem_03_findings.json
337,dean_name,applied,David Shafer,Glenn Shafer,https://www.rutgers.edu/news/glenn-shafer-named-dean-rutgers-business-school-newark-and-new-brunswick,high,rem_03_findings.json
337,prior_position_title,applied,Professor of Statistics,Director of the business doctoral program / Board of Governors Professor,https://www.rutgers.edu/news/glenn-shafer-named-dean-rutgers-business-school-newark-and-new-brunswick,high,rem_03_findings.json
338,appointment_start_month_year,applied,2015,Jan-15,https://www.rutgers.edu/news/rutgers-business-school-newark-and-new-brunswick-appoints-new-dean,high,rem_03_findings.json
338,dean_name,applied,Lei Lan,Lei Lei,https://www.rutgers.edu/news/rutgers-business-school-newark-and-new-brunswick-appoints-new-dean,high,rem_03_findings.json
339,appointment_end_year,applied,1995,"1995 (confirmed; end-of-tenure, succeeded by Acting Dean Alexander Field 1995-1996, not directly by Posner)",https://en.wikipedia.org/wiki/SCU_Leavey_School_of_Business,high,rem_04_findings.json
341,appointment_start_year,applied,1996,1996 (Posner's actual start per Wikipedia; Acting Dean Alexander Field served 1995-1996 immediately before him),https://en.wikipedia.org/wiki/SCU_Leavey_School_of_Business,high,rem_04_findings.json
342,appointment_start_month_year,applied,,Jul-10,https://www.scu.edu/business/isa/faculty/starbird/,high,seed_chat_reports_findings.json
342,appointment_start_year,applied,2009,2010,https://www.scu.edu/business/isa/faculty/starbird/,high,seed_chat_reports_findings.json
342,prior_position_title,applied,,"Interim Dean, Leavey School of Business",https://www.scu.edu/business/isa/faculty/starbird/,high,seed_chat_reports_findings.json
346,appointment_start_month_year,applied,Jan-26,"Jan-26 (confirmed exact: Jan 1, 2026)",https://www.scu.edu/business/news/top-stories/introducing-interim-dean-naren-agrawal-a-steady-hand-and-a-forward-looking-vision.html,high,rem_04_findings.json
347,appointment_start_month_year,applied,Jan-97,Jun-97,https://www.smu.edu/cox/coxtoday-magazine/2017-04-03-a-deans-legacy-the-cox-schools-rise-to-prominence,medium,rem_04_findings.json
356,appointment_end_month_year,applied,2000,Aug-00,https://en.wikipedia.org/wiki/James_J._Tietjen,high,batch_09_findings.json
356,appointment_start_month_year,applied,1995,Jul-96,https://en.wikipedia.org/wiki/James_J._Tietjen,high,batch_09_findings.json
356,appointment_start_year,applied,1995,1996,https://en.wikipedia.org/wiki/James_J._Tietjen,high,batch_09_findings.json
364,dean_name,applied,Simon London,"Manuel London (""Manny"" London)",https://news.stonybrook.edu/newsroom/press-release/general/stony-brook-university-selects-new-dean-to-lead-college-of-business/,high,batch_09_findings.json
365,appointment_end_month_year,applied,2026,Jan-26,https://www.stonybrook.edu/commcms/provost/about/_communications/_2025_CoB-leadership.php,high,batch_09_findings.json
365,next_role,applied,,Internal_faculty_transfer (joining College of Business faculty to focus on research/teaching),https://www.stonybrook.edu/commcms/provost/about/_communications/_2025_CoB-leadership.php,high,batch_09_findings.json
366,appointment_start_month_year,applied,2026,Jan-26,https://www.stonybrook.edu/commcms/provost/about/_communications/_2026_01-cob-interim.php,high,batch_09_findings.json
366,dean_name,applied,Bear,Julia Bear,https://www.stonybrook.edu/commcms/provost/about/_communications/_2026_01-cob-interim.php,high,batch_09_findings.json
366,prior_position_title,applied,Associate Dean,"Associate Dean for Research; Professor, Organizational Behavior",https://news.stonybrook.edu/university/julia-bear-named-interim-dean-of-the-college-of-business,high,batch_09_findings.json
369,appointment_end_year,applied,2016,2017,https://www.syracuse.com/su-news/2016/09/abrupt_dismissal_of_whitman_de.html,medium,batch_09_findings.json
374,appointment_end_month_year,applied,2022,Jun-23,https://now.temple.edu/announcements/2022-08-09/ronald-anderson-step-down-fox-sthm-dean-following-year,high,batch_09_findings.json
374,appointment_end_year,applied,2022,2023,https://now.temple.edu/announcements/2022-08-09/ronald-anderson-step-down-fox-sthm-dean-following-year,high,batch_09_findings.json
374,dean_name,applied,Anderson,Ronald C. Anderson,https://now.temple.edu/news/2018-07-23/ron-anderson-appointed-interim-dean-fox-school-business,high,batch_09_findings.json
374,is_interim,applied,0,"1 (Jul 2018-Jun 2019), then 0 (permanent Jun 2019-Jun 2023)",https://now.temple.edu/news/2018-07-23/ron-anderson-appointed-interim-dean-fox-school-business,high,batch_09_findings.json
375,appointment_start_month_year,applied,2023,Aug-23,https://temple-news.com/temple-names-new-fox-dean-following-national-search/,high,batch_09_findings.json
375,dean_name,applied,Hunter,"Larry ""Chip"" Hunter",https://poetsandquants.com/2023/05/12/temple-fox-names-larry-chip-hunter-as-its-new-dean/,high,batch_09_findings.json
