date,action,university,dean,event,confidence,url
"2026-07-22","banner","Howard University","Christopher Lance Coleman","dean/appointment","high","https://news.google.com/rss/articles/CBMi0gFBVV95cUxNUzFFc0o2dFl1N0h2WUlGZkg0QXZnUlBLcFRPOW9yTmVhd3NPLVAzTW05ejV2WFNKZURQQjN4N3RkeU42MzdaXzN6QlMyUzVxQ2lOVnBWbGJFc3Iyelp3R0ctMWdfVEViSk5PMHJpOWlsYnoySFVsWUVNVkxWMGFsOHpnb3lzSWxNSi1vdDRuYzZCZGUxTG1YLU9ZLWwzeHhUUEhUcGRwNmVMQ0tvWkRpSWRLYUk2UUZYa3F2RW5IQXJldzJfSElUZkRxUmpmSzRvT0E?oc=5"
"2026-07-22","banner","McNeese State University","Dr. Srinivasan Ambatipati","dean/appointment","high","https://news.google.com/rss/articles/CBMipgFBVV95cUxPSFVKQ0Uyd2JuaGpWdTl3NGFHd0p0T05odE5ESnBtV3plMC1rcEhlbzdyakZRc0kzMV96U0JIUlRYZjZxSk1Bc292RTktQk11Mmk2X3FVcThFWFp1bTRlMHJvdk0ybUFnMS1sdGlDYmFKcFY0TkROakFEcVdLQlFKWm80SUNJb05vOHViTi1sVWZYeUtCaGkzaVZNTnIzdFlhMlhYdllB?oc=5"
"2026-07-22","banner","University of Florida","Dr. Mark Tehranipoor","dean/appointment","high","https://news.google.com/rss/articles/CBMimwFBVV95cUxNNmFOUFRjY1pNYy1YZnNyQ1NFOGc1RWZOcUgyYm9heXRfWjhBWXFkRDl3NnVueU11SC03R29XYzdJVzlYWWUtSGc4REh2QjFiXzlDTGg3OEpIUHBydmJJVlRSZDJLSDczcjlKNkgwRzZqYkR1dWpJZTdqXzBCQ2NuQlphZEdrdGotVmNqYklCcmlJbmhwN2pHTjJCNA?oc=5"
"2026-07-22","banner","American University","Aroutis Foster","dean/appointment","high","https://news.google.com/rss/articles/CBMikgFBVV95cUxQVUlyOFM3cU5YRkR1eGNtQ3NYeFNCSkd4N0t0RHJsa05QUDg2UHYyeC02eWFvUHhMeWlLcmUtVm5KZ0RvaUFEOU00ZHNjN3lYX19GUDc1a3Q1QW9DOTFCNW1RUlpTRnFOajZKZ0tVX2diOXAxcURyRGxNLUxoc2ZLX0JHSjdRX04xY1RONDRtOVRDZw?oc=5"
"2026-07-22","banner","Lehigh University","Robin Hojnoski","dean/appointment","high","https://news.google.com/rss/articles/CBMiigFBVV95cUxQX1Utdk5kQ2JES0dUQUEwYThVNkFpLTRmemlnMmVhNlpRZWxWUTFSWm9CZ09OWWdKYXNVWFFSQUZGRExndmg0eFR5aDBoYVJlWlNkMC0xbFZiSkh4SXk3YkdCTElpT1VxN3FGeDhyYXFtbnZkVndyemIyZnNzTVVsM2hCamEyTDNQX2c?oc=5"
"2026-07-22","banner","McNeese State University","Dr. Jan Robichaux","dean/appointment","high","https://news.google.com/rss/articles/CBMimgFBVV95cUxNRVBHaXUtd1V6eDRoc09Cc2FndkZqbG1GNl9MWmxKNk5qZTlPNDcwYllwQjF5VVhILWVCSTJQT3Z2ei1ieWZRT2hlRkpJMWdNMEVaelBnTWtuY1VMbllteS1LSU5CTHpEVWQ5WUlKQ2tFN1BNRWRLbkxKcW52dFlzMFRVTUpTSHJ1bXdHM19KQ09fSXhVZm9ocU9R?oc=5"
"2026-07-22","banner","Clemson University","","provost/appointment","medium","https://news.google.com/rss/articles/CBMie0FVX3lxTFB4a0s5eXlZMENIVm9DSGhvWks0M0h1cmVhRmh6dkNlNGh4MllVUjVNNjVicVI5RHRpZm40QkE3U2ZrMWVTRk9MV0xNZ3d2TlhXZFNZMEVRNmdST1VfZEItTkZEbHh0Y2E2RFNPTkZuR2xJU3RzdVdDeThaNA?oc=5"
"2026-07-22","banner","Clemson University","","president/appointment","medium","https://news.google.com/rss/articles/CBMizwFBVV95cUxPY0lRbXl5alVzd1RqVDU0elAtZDRiaXVhVTRETnJ1Qkt4ZDNQb29yaXR3SnBmSy1FVEhKV09fa1NrU25tS012Q2NWTjh2Mll1VEx0VDhkWjZWaHFIQTBwMmdmSlNnWl9SRVVGTEpPTzJfTV9LTkU0NUFoZlkzNGRrZFdUVUYxY3kzTERmTjNTal8zTjVpZDdpaXNuWS1IYlVaeWh3MkdnYWpmMFBVb1Vzbng0d3MwSFd3RmdleXJoekpnem8zUTdUa3RRaUFWdDQ?oc=5"
"2026-07-22","banner","Virginia Tech","","president/appointment","medium","https://news.google.com/rss/articles/CBMigAFBVV95cUxQdWJZRG5fZG11Tk1hZVVldkVkNHF3Z2JtUWhETExTckJsN3hZb3hPMmNuelgxb0FuZnE2Z3FLeF8xSXRvYkJFMDV5azJCbXNWN1o5NU15dnFhSEEwR29GZnFsYy0xOC10aXp0N1k4c0VhOXo0OWxLSXItSlR3YXV4OQ?oc=5"
"2026-07-22","banner","Clemson University","Benjamin C. Ayers","president/appointment","high","https://news.google.com/rss/articles/CBMiogFBVV95cUxQX1pTRk4wb2h0VzlDWkwtdEJMOXFlYWY5aHg0MjBQSVVMRGtPc1h4OFM0N3BTYmZaVnY5NGVfRWt2OE5CX25oX1RMSjJHc2RRSjJZbmtoWEtDUGRvaVRJV0ZVQV9oNVVicTVEeWZBcVZjbEVkV0hxbWtDeXItdXBRd3U2SWRrWE52dUxSY1hKOHkyMk00VjZwQjBLb0xSZDdfbWc?oc=5"
"2026-07-22","banner","Purdue University","","president/appointment","medium","https://news.google.com/rss/articles/CBMihgJBVV95cUxOVVpBUEpIbGxfWW1NVk9CTHUtU3J1alBEQ3p1UlotNFFmSkc5dEVuMVFyWHowZUowZDBjT09aM3BSbS05d1p0WjFXY2JCbjZsczlQVjdDaWRpaGtVcW5YTjNWZmZZN2J4R1YwTnVDLVJVMzc1WHVEcFE3bFR4eDBFaDlsLWVkbUhUdndHZy1kdGhScVBRQmdfeFF2OWktMUNUQTZhbU9EZlVSbVo3QlVkdjRnTkxBZFljSHpnamx1WmQwUy1Db1ZvQ1dLeWpScmw4cmozVkNZYUlsdF9VdGE0cldOcHUzOXlGTm9yMTdzMDg2bkFBVldQd0JhOXlsdUxPV0lWbnlR?oc=5"
"2026-07-23","review","University of Colorado Denver","","appointment","medium","https://news.google.com/rss/articles/CBMiowFBVV95cUxQZnNtYmZOajZXUmRndWU3S0lGblBMalkyMnFxUFNOLW4yUlhaeHMtRkw4SUstNmdMbVozOWNmMHVfNC1HUHBtTnNFVUJ6SEFnbDdtOEZMODhJMWNjR250YjBpUlB0UFFScHNRM3Z6QkNjX3ZkeTNnOG5Rd2J1OGpMVnYyeFlySURaYWFuWEZQaTQ4eHJHelFxYmV6cTYyanhHZHZn?oc=5"
"2026-07-23","banner","Auburn University","","president/appointment","medium","https://news.google.com/rss/articles/CBMi4gFBVV95cUxPVU03d3RQZF9RSTd5N3Vqb21zWEpVT0dfUEVKenIwOTVtYWdpcWxwc3RKUXp0MVpCU3lPN3VyN01LUTI1d3llUy0yTmxHeldtT2wwNUJ5cE5EZVlEUVFISE5pcGJnN1JiVTdmaG1MZUZxdkl0RWI5WlFGMzBwTlFmMUhmOFFzckNmV1psRmUybXZXaWZjbWJHSDM1bVM1a0dDRm11VlRUR2J4T3VUVThLaEdhVXJtYnRzM1JVMG9DZkFrTVVhcUEzVmRyMm9SYVljcDd0c1Q0SkJhVmtyQTM2ZTln?oc=5"
"2026-07-23","banner","University of Michigan","","president/appointment","medium","https://news.google.com/rss/articles/CBMixAFBVV95cUxPYUlCY3A4UUN2bFVjSU92UWJCRDAxZklmTm1ZeExEbVpNWmZKdjd5NDlXOU5zVzlhczRQSDMtOGJXakNsSG9BY2h3NWs0cm5vc0xjal93RnhNZGY3SGIxZEZYaG85QWxtY3BZSlplbkQzWk1HMm8xb0lhbDNMSzZmeDZCT3pTei1CUVI4d1l1QTFnYnpraUtoM2JpOW1BMEt5WFR2WHU0Y3VSVlc3YU1hUWJwcnhFNGEzUS1qanJMNjZOakVs0gHYAUFVX3lxTE12NzE4MTZZUDgtTnRmY0N0SkxyRnJJazV0MFBMR29QM2FlRE9ENkE4ZEYyMllRUWxja0lxZTFCYnl6Q2RzRGFaaDRrVFF6eWl2M3ljd05yeE1fTmkxZVFFclh3bDFITVhjVjctNXZ0Q3ltejNyNzFDcEpNeU43d2ZaakRSYjVWOXUyaURCaHVrWEFRZzhVZkpEcmxsSkI0ZVRHTGY1QXFKSzloNHZ5NzVORnNyZUE2cF9BNEJwYkQ0Y3ZjSzZuNHlYeGlGT2lxenIzVEx0QTFneA?oc=5"
"2026-07-26","review","University of Florida","","university/appointment","medium","https://news.google.com/rss/articles/CBMipAFBVV95cUxQNElCWldsWWdZNkN6YV80QkY0bDc2cjc3aUlNTmVJdE5Jc3pwMXFERlY4UUN0VFg2Tk5IakVIakFhQ0JCdWl3NGNBbkFIYlJ1UUh2RWtKZVNBcnUyTWtJVVJLU1VWX044UDMzbU41emc4Q09OSWZhNHMtZktkQ1N0RU1od3VMSEpka3o4WUsxYUJDSEc3NnpDUjloZGFLUDhxWEhpMQ?oc=5"
"2026-07-26","banner","Southern Arkansas University","UA Little Rock Alumna","dean/appointment","low","https://news.google.com/rss/articles/CBMinwFBVV95cUxQbERIWjc0TDV3X2ZyT2N1VV9mNTdUQUlSRkVYei1Makx3czl3dlFTczFvX3M4X1E1Ym5Zb0Q2MzBLRzZTX3YySzdvQ2lVYWxZMmdZQU9GQVZOQ1RsVFBQQ3lYVGNNUG9XVEgyLUtJelVlNlZhQUZHTVJzVzdmREdxRjJCczdfcDdqNzJJdkM1OF9qaFhudEVhd3ZHb2ZTVms?oc=5"
"2026-07-28","skip_duplicate","Southern Arkansas University","C. Neelie Dobbins","education/appointment","high","https://news.google.com/rss/articles/CBMiugFBVV95cUxPMnlYejBWTHFRM3U2U2NXZDhMNUtfTTBERGVob1ZENDlxWEdfWUpXTUVIb0FjaC1CWUh5c3NxZVVleVhtLWVfR1JJdnhWY2RTTEZYM0NfUmhfSndSXzlYWWYwdjRrS3hiNzI2REZaOG5mR2JGVm9uZExDUndjWVM2R0psa21SMnMyYzllOVI3SGEyYWV3RWdpX1ZjSTNCNDY0ZUl0d0pQTjRLN3F5eXQ1Ylp6LXdvQzB4THc?oc=5"
"2026-07-29","position_filled","Carnegie Mellon University","Laurence Ales","jobmarket","high","https://news.google.com/rss/articles/CBMifEFVX3lxTE11bmM1bEJIQU5mS2FkdzJhcVlxT1NpT0JVWXZReHNKMWdjQnA1MkhRaS1raXVILWJXaTlENzVyY3BzN2k4V1gwbEFkOFVaYU5tamx5S0cxaExVNkdMLXg5VnJTVjZZNTdSQ0d5NEw0MkQtWm1kNlVIeFdsYko?oc=5"
"2026-07-29","added","Carnegie Mellon University","Laurence Ales","business/appointment/interim","high","https://news.google.com/rss/articles/CBMifEFVX3lxTE11bmM1bEJIQU5mS2FkdzJhcVlxT1NpT0JVWXZReHNKMWdjQnA1MkhRaS1raXVILWJXaTlENzVyY3BzN2k4V1gwbEFkOFVaYU5tamx5S0cxaExVNkdMLXg5VnJTVjZZNTdSQ0d5NEw0MkQtWm1kNlVIeFdsYko?oc=5"
