appointment_id,institution_id,seat_id,seat_level,source_index,title_verbatim,unit_name,person_id,start_date,start_precision,end_date,end_precision,end_date_suppressed,is_current,is_interim,is_interim_legacy,interim_evidence,interim_evidence_quote,interim_override,interim_override_reason,interim_diverges_from_legacy,title_is_compound,converted_to_permanent,linked_permanent_id,predecessor_appointment_id,appointment_seq,is_left_censored,last_verified_date,announcement_date,search_start_date,search_firm,is_internal_hire,source_url
US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1874-3,US-UNIVERSITY-OF-PENNSYLVANIA,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL,dean,r1-lawschool-deans.json,,University of Pennsylvania Carey Law School,P00011,1874-01-01,year,1886-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1868-2,3,FALSE,,,,,,https://archives.upenn.edu/exhibits/penn-people/notables/university-leaders/deans/law-school-deans/
US-UNIVERSITY-OF-MICHIGAN-D-COLLEGE-OF-PHARMACY-1876-1,US-UNIVERSITY-OF-MICHIGAN,US-UNIVERSITY-OF-MICHIGAN-D-COLLEGE-OF-PHARMACY,dean,r1-pharmacy-deans.json,Founding Dean,College of Pharmacy,P00012,1876-01-01,year,1905-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Founding Dean,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://findingaids.lib.umich.edu/catalog/umich-bhl-87105
US-UNIVERSITY-OF-ILLINOIS-URBANA-CHAMPAIGN-D-COLLEGE-OF-AGRICULTURAL-CONSUMER-AND-ENVIRONMENT-1878-1,US-UNIVERSITY-OF-ILLINOIS-URBANA-CHAMPAIGN,US-UNIVERSITY-OF-ILLINOIS-URBANA-CHAMPAIGN-D-COLLEGE-OF-AGRICULTURAL-CONSUMER-AND-ENVIRONMENT,dean,r1-agschool-deans.json,Dean,"College of Agricultural, Consumer and Environmental Sciences (ACES)",P00013,1878-01-01,year,1894-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Dean,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://aces.illinois.edu/about/dean
US-IOWA-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE-AND-LIFE-SCIENCES-1879-1,US-IOWA-STATE-UNIVERSITY,US-IOWA-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE-AND-LIFE-SCIENCES,dean,r1-agschool-deans.json,Dean of Agriculture,College of Agriculture and Life Sciences (CALS),P00014,1879-01-01,year,1885-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Dean of Agriculture,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://www.cals.iastate.edu/content/deans-agriculture-iowa-state-university
US-IOWA-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE-1879-1,US-IOWA-STATE-UNIVERSITY,US-IOWA-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,dean,r1-vet-deans.json,,College of Veterinary Medicine,P00015,1879-01-01,year,1900-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,TRUE,https://vetmed.iastate.edu/about/history/deans/
US-UNIVERSITY-OF-WISCONSIN-MADISON-D-COLLEGE-OF-AGRICULTURAL-AND-LIFE-SCIENCES-1880-1,US-UNIVERSITY-OF-WISCONSIN-MADISON,US-UNIVERSITY-OF-WISCONSIN-MADISON-D-COLLEGE-OF-AGRICULTURAL-AND-LIFE-SCIENCES,dean,r1-agschool-deans.json,Dean,College of Agricultural and Life Sciences,P00016,1880-01-01,year,1907-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain_narrative_elsewhere,"From the college's official 'List of Past Deans' page, which gives names and year ranges only — no verbatim titles, prior roles, or interim designations — so 'Dean' is recorded generically for the historical deans.",FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://cals.wisc.edu/about-cals/history/list-of-past-deans/
US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES-1882-2,US-BOSTON-UNIVERSITY,US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES,dean,r1-arts-deans.json,Dean,College of Arts & Sciences,P00017,1882-01-01,year,1903-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Dean,FALSE,,FALSE,FALSE,FALSE,,US-BOSTON-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES-1873-1,2,FALSE,,,,,TRUE,https://www.bu.edu/cas/deans-of-the-college/
US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE-1882-2,US-UNIVERSITY-OF-MISSOURI,US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE,dean,r1-agschool-deans.json,"Dean, College of Agriculture and Mechanical Arts","College of Agriculture, Food and Natural Resources",P00018,1882-01-01,year,1889-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,"Dean, College of Agriculture and Mechanical Arts",FALSE,,FALSE,FALSE,FALSE,,US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE-1870-1,2,FALSE,,,,,,https://cafnr.missouri.edu/about-cafnr/history/
US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE-1883-1,US-UNIVERSITY-OF-COLORADO-DENVER,US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE,dean,r1-medschool-deans.json,,University of Colorado School of Medicine (Anschutz Medical Campus),P00019,1883-01-01,year,1884-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://library-cuanschutz.libguides.com/SOM-profiles/faculty
US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE-1884-2,US-UNIVERSITY-OF-COLORADO-DENVER,US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE,dean,r1-medschool-deans.json,,University of Colorado School of Medicine (Anschutz Medical Campus),P00020,1884-01-01,year,1892-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE-1883-1,2,FALSE,,,,,,https://library-cuanschutz.libguides.com/SOM-profiles/faculty
US-UNIVERSITY-OF-PENNSYLVANIA-D-SCHOOL-OF-VETERINARY-MEDICINE-1884-1,US-UNIVERSITY-OF-PENNSYLVANIA,US-UNIVERSITY-OF-PENNSYLVANIA-D-SCHOOL-OF-VETERINARY-MEDICINE,dean,r1-vet-deans.json,,School of Veterinary Medicine,P00021,1884-01-01,year,1889-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,FALSE,https://www.vet.upenn.edu/about/our-history/deans-of-penn-vet
US-UNIVERSITY-OF-IOWA-D-COLLEGE-OF-PHARMACY-1885-1,US-UNIVERSITY-OF-IOWA,US-UNIVERSITY-OF-IOWA-D-COLLEGE-OF-PHARMACY,dean,r1-pharmacy-deans.json,Founding Dean,College of Pharmacy,P00022,1885-01-01,year,1904-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Founding Dean,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://pharmacy.uiowa.edu/about/history
US-UNIVERSITY-OF-KANSAS-D-SCHOOL-OF-PHARMACY-1885-1,US-UNIVERSITY-OF-KANSAS,US-UNIVERSITY-OF-KANSAS-D-SCHOOL-OF-PHARMACY,dean,r1-pharmacy-deans.json,Dean,School of Pharmacy,P00023,1885-01-01,year,1925-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Dean,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://pharmacy.ku.edu/history
US-OHIO-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE-1885-1,US-OHIO-STATE-UNIVERSITY,US-OHIO-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,dean,r1-vet-deans.json,,College of Veterinary Medicine,P00024,1885-01-01,year,1895-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,TRUE,https://kb.osu.edu/server/api/core/bitstreams/38f500a2-fed5-56e4-8f8b-e9e336ded5fe/content
US-CORNELL-UNIVERSITY-D-CORNELL-LAW-SCHOOL-1887-1,US-CORNELL-UNIVERSITY,US-CORNELL-UNIVERSITY-D-CORNELL-LAW-SCHOOL,dean,r1-lawschool-deans.json,,Cornell Law School,P00025,1887-01-01,year,1891-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://www.lawdeans.com/schoolprofile.php?UID=11
US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1887-4,US-UNIVERSITY-OF-PENNSYLVANIA,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL,dean,r1-lawschool-deans.json,,University of Pennsylvania Carey Law School,P00026,1887-01-01,year,1888-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1874-3,4,FALSE,,,,,,https://archives.upenn.edu/exhibits/penn-people/notables/university-leaders/deans/law-school-deans/
US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES-D-UNIVERSITY-OF-MINNESOTA-LAW-SCHOOL-1888-1,US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES,US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES-D-UNIVERSITY-OF-MINNESOTA-LAW-SCHOOL,dean,r1-lawschool-deans.json,,University of Minnesota Law School,P00027,1888-01-01,year,1911-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://law.umn.edu/about/history
US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1888-5,US-UNIVERSITY-OF-PENNSYLVANIA,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL,dean,r1-lawschool-deans.json,,University of Pennsylvania Carey Law School,P00028,1888-01-01,year,1895-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-UNIVERSITY-OF-PENNSYLVANIA-D-UNIVERSITY-OF-PENNSYLVANIA-CAREY-LAW-SCHOOL-1887-4,5,FALSE,,,,,,https://archives.upenn.edu/exhibits/penn-people/notables/university-leaders/deans/law-school-deans/
US-CORNELL-UNIVERSITY-D-NEW-YORK-STATE-COLLEGE-OF-AGRICULTURE-AND-LIFE-S-1888-1,US-CORNELL-UNIVERSITY,US-CORNELL-UNIVERSITY-D-NEW-YORK-STATE-COLLEGE-OF-AGRICULTURE-AND-LIFE-S,dean,r1-agschool-deans.json,Director of the College of Agriculture and Dean of its Faculty,New York State College of Agriculture and Life Sciences (CALS),P00029,1888-01-01,year,1903-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Director of the College of Agriculture and Dean of its Faculty,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,TRUE,https://cals.cornell.edu/agricultural-experiment-station/about/history
US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY-1888-2,US-UNIVERSITY-OF-SOUTH-CAROLINA,US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY,dean,r1-pharmacy-deans.json,Dean,College of Pharmacy,P00030,1888-01-01,year,1891-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Dean,FALSE,,FALSE,FALSE,FALSE,,US-UNIVERSITY-OF-SOUTH-CAROLINA-D-COLLEGE-OF-PHARMACY-1866-1,2,FALSE,,,,,,https://sc.edu/study/colleges_schools/pharmacy/about/our_history/deans/index.php
US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE-1889-3,US-UNIVERSITY-OF-MISSOURI,US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE,dean,r1-agschool-deans.json,"Dean, College of Agriculture and Mechanical Arts","College of Agriculture, Food and Natural Resources",P00031,1889-01-01,year,1895-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,"Dean, College of Agriculture and Mechanical Arts",FALSE,,FALSE,FALSE,FALSE,,US-UNIVERSITY-OF-MISSOURI-D-COLLEGE-OF-AGRICULTURE-FOOD-AND-NATURAL-RESOURCE-1882-2,3,FALSE,,,,,,https://cafnr.missouri.edu/about-cafnr/history/
US-UNIVERSITY-OF-TENNESSEE-KNOXVILLE-D-UNIVERSITY-OF-TENNESSEE-WINSTON-COLLEGE-OF-LAW-1890-1,US-UNIVERSITY-OF-TENNESSEE-KNOXVILLE,US-UNIVERSITY-OF-TENNESSEE-KNOXVILLE-D-UNIVERSITY-OF-TENNESSEE-WINSTON-COLLEGE-OF-LAW,dean,r1-lawschool-deans.json,,University of Tennessee Winston College of Law,P00032,1890-01-01,year,,,TRUE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://volopedia.lib.utk.edu/entries/college-of-law/
US-UNIVERSITY-BUFFALO-D-SCHOOL-OF-PHARMACY-AND-PHARMACEUTICAL-SCIENCES-1890-1,US-UNIVERSITY-BUFFALO,US-UNIVERSITY-BUFFALO-D-SCHOOL-OF-PHARMACY-AND-PHARMACEUTICAL-SCIENCES,dean,r1-pharmacy-deans.json,Dean,School of Pharmacy and Pharmaceutical Sciences,P00033,1890-01-01,year,1936-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Dean,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://pharmacy.buffalo.edu/about-us/our-history-and-building/our-history.html
US-UNIVERSITY-OF-PENNSYLVANIA-D-SCHOOL-OF-VETERINARY-MEDICINE-1890-2,US-UNIVERSITY-OF-PENNSYLVANIA,US-UNIVERSITY-OF-PENNSYLVANIA-D-SCHOOL-OF-VETERINARY-MEDICINE,dean,r1-vet-deans.json,,School of Veterinary Medicine,P00034,1890-01-01,year,1897-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-UNIVERSITY-OF-PENNSYLVANIA-D-SCHOOL-OF-VETERINARY-MEDICINE-1884-1,2,FALSE,,,,,TRUE,https://www.vet.upenn.edu/about/our-history/deans-of-penn-vet
US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL-1891-2,US-COLUMBIA-UNIVERSITY,US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL,dean,r1-lawschool-deans.json,,Columbia Law School,P00035,1891-01-01,year,1901-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-COLUMBIA-UNIVERSITY-D-COLUMBIA-LAW-SCHOOL-1858-1,2,FALSE,,,,,,https://www.lawdeans.com/schoolprofile.php?UID=34
US-CORNELL-UNIVERSITY-D-CORNELL-LAW-SCHOOL-1891-2,US-CORNELL-UNIVERSITY,US-CORNELL-UNIVERSITY-D-CORNELL-LAW-SCHOOL,dean,r1-lawschool-deans.json,,Cornell Law School,P00036,1891-01-01,year,1903-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-CORNELL-UNIVERSITY-D-CORNELL-LAW-SCHOOL-1887-1,2,FALSE,,,,,,https://www.lawdeans.com/schoolprofile.php?UID=11
US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW-1891-2,US-DUKE-UNIVERSITY,US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW,dean,r1-lawschool-deans.json,,Duke University School of Law,P00037,1891-01-01,year,1894-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-LAW-1850-1,2,FALSE,,,,,,https://law.duke.edu/history/deans/
US-LONG-ISLAND-UNIVERSITY-D-ARNOLD-AND-MARIE-SCHWARTZ-COLLEGE-OF-PHARMACY-AN-1891-1,US-LONG-ISLAND-UNIVERSITY,US-LONG-ISLAND-UNIVERSITY-D-ARNOLD-AND-MARIE-SCHWARTZ-COLLEGE-OF-PHARMACY-AN,dean,r1-pharmacy-deans.json,Dean,Arnold & Marie Schwartz College of Pharmacy and Health Sciences,P00038,1891-01-01,year,1892-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Dean,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://www.liu.edu/Pharmacy/Spotlight-On/Pharmacy-History
US-UNIVERSITY-OF-COLORADO-BOULDER-D-UNIVERSITY-OF-COLORADO-LAW-SCHOOL-1892-1,US-UNIVERSITY-OF-COLORADO-BOULDER,US-UNIVERSITY-OF-COLORADO-BOULDER-D-UNIVERSITY-OF-COLORADO-LAW-SCHOOL,dean,r1-lawschool-deans.json,,University of Colorado Law School (Colorado Law),P00039,1892-01-01,year,1902-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://www.lawdeans.com/schoolprofile.php?UID=131
US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE-1892-3,US-UNIVERSITY-OF-COLORADO-DENVER,US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE,dean,r1-medschool-deans.json,,University of Colorado School of Medicine (Anschutz Medical Campus),P00040,1892-01-01,year,1895-01-01,year,FALSE,FALSE,FALSE,FALSE,none,,FALSE,,FALSE,FALSE,FALSE,,US-UNIVERSITY-OF-COLORADO-DENVER-D-UNIVERSITY-OF-COLORADO-SCHOOL-OF-MEDICINE-1884-2,3,FALSE,,,,,,https://library-cuanschutz.libguides.com/SOM-profiles/faculty
US-UNIVERSITY-OF-KANSAS-D-COLLEGE-OF-LIBERAL-ARTS-AND-SCIENCES-1892-1,US-UNIVERSITY-OF-KANSAS,US-UNIVERSITY-OF-KANSAS-D-COLLEGE-OF-LIBERAL-ARTS-AND-SCIENCES,dean,r1-arts-deans.json,Dean,College of Liberal Arts and Sciences,P00041,1892-01-01,year,1895-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Dean,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,,https://collegedean.ku.edu/previous-deans
US-OHIO-STATE-UNIVERSITY-D-COLLEGE-OF-FOOD-AGRICULTURAL-AND-ENVIRONMENTAL-S-1892-1,US-OHIO-STATE-UNIVERSITY,US-OHIO-STATE-UNIVERSITY-D-COLLEGE-OF-FOOD-AGRICULTURAL-AND-ENVIRONMENTAL-S,dean,r1-agschool-deans.json,Dean and Professor of Agriculture and Domestic Science,"College of Food, Agricultural, and Environmental Sciences",P00042,1892-01-01,year,1903-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Dean and Professor of Agriculture and Domestic Science,FALSE,,FALSE,FALSE,FALSE,,,1,TRUE,,,,,TRUE,https://www.plantsciences.ucdavis.edu/people/thomas-hunt
US-LONG-ISLAND-UNIVERSITY-D-ARNOLD-AND-MARIE-SCHWARTZ-COLLEGE-OF-PHARMACY-AN-1892-2,US-LONG-ISLAND-UNIVERSITY,US-LONG-ISLAND-UNIVERSITY-D-ARNOLD-AND-MARIE-SCHWARTZ-COLLEGE-OF-PHARMACY-AN,dean,r1-pharmacy-deans.json,Dean,Arnold & Marie Schwartz College of Pharmacy and Health Sciences,P00043,1892-01-01,year,1902-01-01,year,FALSE,FALSE,FALSE,FALSE,title_plain,Dean,FALSE,,FALSE,FALSE,FALSE,,US-LONG-ISLAND-UNIVERSITY-D-ARNOLD-AND-MARIE-SCHWARTZ-COLLEGE-OF-PHARMACY-AN-1891-1,2,FALSE,,,,,,https://www.liu.edu/Pharmacy/Spotlight-On/Pharmacy-History
