seat_id,institution_id,seat_level,unit_type,canonical_name,reports_to,reports_to_source_url,reports_to_year_observed,created_year,dissolved_year,predecessor_seat_id
US-UNIVERSITY-OF-KANSAS-D-SCHOOL-OF-PHARMACY,US-UNIVERSITY-OF-KANSAS,dean,pharmacy,School of Pharmacy,,,,,,
US-OHIO-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,US-OHIO-STATE-UNIVERSITY,dean,veterinary,College of Veterinary Medicine,,,,,,
US-CORNELL-UNIVERSITY-D-CORNELL-LAW-SCHOOL,US-CORNELL-UNIVERSITY,dean,law,Cornell Law School,,,,,,
US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES-D-UNIVERSITY-OF-MINNESOTA-LAW-SCHOOL,US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES,dean,law,University of Minnesota Law School,,,,,,
US-CORNELL-UNIVERSITY-D-NEW-YORK-STATE-COLLEGE-OF-AGRICULTURE-AND-LIFE-S,US-CORNELL-UNIVERSITY,dean,agriculture,New York State College of Agriculture and Life Sciences (CALS),,,,,,
US-UNIVERSITY-OF-TENNESSEE-KNOXVILLE-D-UNIVERSITY-OF-TENNESSEE-WINSTON-COLLEGE-OF-LAW,US-UNIVERSITY-OF-TENNESSEE-KNOXVILLE,dean,law,University of Tennessee Winston College of Law,,,,,,
US-UNIVERSITY-BUFFALO-D-SCHOOL-OF-PHARMACY-AND-PHARMACEUTICAL-SCIENCES,US-UNIVERSITY-BUFFALO,dean,pharmacy,School of Pharmacy and Pharmaceutical Sciences,,,,,,
US-LONG-ISLAND-UNIVERSITY-D-ARNOLD-AND-MARIE-SCHWARTZ-COLLEGE-OF-PHARMACY-AN,US-LONG-ISLAND-UNIVERSITY,dean,pharmacy,Arnold & Marie Schwartz College of Pharmacy and Health Sciences,,,,1926,,
US-UNIVERSITY-OF-COLORADO-BOULDER-D-UNIVERSITY-OF-COLORADO-LAW-SCHOOL,US-UNIVERSITY-OF-COLORADO-BOULDER,dean,law,University of Colorado Law School (Colorado Law),,,,,,
US-UNIVERSITY-OF-KANSAS-D-COLLEGE-OF-LIBERAL-ARTS-AND-SCIENCES,US-UNIVERSITY-OF-KANSAS,dean,arts_sciences,College of Liberal Arts and Sciences,,,,,,
US-OHIO-STATE-UNIVERSITY-D-COLLEGE-OF-FOOD-AGRICULTURAL-AND-ENVIRONMENTAL-S,US-OHIO-STATE-UNIVERSITY,dean,agriculture,"College of Food, Agricultural, and Environmental Sciences",,,,,,
US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES-D-COLLEGE-OF-PHARMACY,US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES,dean,pharmacy,College of Pharmacy,,,,,,
US-JOHNS-HOPKINS-UNIVERSITY-D-JOHNS-HOPKINS-UNIVERSITY-SCHOOL-OF-MEDICINE,US-JOHNS-HOPKINS-UNIVERSITY,dean,medicine,Johns Hopkins University School of Medicine,,,,,,
US-UNIVERSITY-OF-TEXAS-AUSTIN-D-COLLEGE-OF-PHARMACY,US-UNIVERSITY-OF-TEXAS-AUSTIN,dean,pharmacy,College of Pharmacy,,,,,,
US-UNIVERSITY-OF-WASHINGTON-D-SCHOOL-OF-PHARMACY,US-UNIVERSITY-OF-WASHINGTON,dean,pharmacy,School of Pharmacy,,,,,,
US-CORNELL-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,US-CORNELL-UNIVERSITY,dean,veterinary,College of Veterinary Medicine,,,,,,
US-UNIVERSITY-OF-PITTSBURGH-D-UNIVERSITY-OF-PITTSBURGH-SCHOOL-OF-LAW,US-UNIVERSITY-OF-PITTSBURGH,dean,law,University of Pittsburgh School of Law,,,,,,
US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES-D-COLLEGE-OF-FOOD-AGRICULTURAL-AND-NATURAL-RESOURC,US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES,dean,agriculture,"College of Food, Agricultural and Natural Resource Sciences",,,,,,
US-OHIO-STATE-UNIVERSITY-D-COLLEGE-OF-PHARMACY,US-OHIO-STATE-UNIVERSITY,dean,pharmacy,College of Pharmacy,,,,,,
US-WASHINGTON-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,US-WASHINGTON-STATE-UNIVERSITY,dean,veterinary,College of Veterinary Medicine,,,,,,
US-AMERICAN-UNIVERSITY-D-AMERICAN-UNIVERSITY-WASHINGTON-COLLEGE-OF-LAW,US-AMERICAN-UNIVERSITY,dean,law,American University Washington College of Law,,,,,,
US-VIRGINIA-COMMONWEALTH-UNIVERSITY-D-SCHOOL-OF-PHARMACY,US-VIRGINIA-COMMONWEALTH-UNIVERSITY,dean,pharmacy,School of Pharmacy,,,,,,
US-UNIVERSITY-OF-KANSAS-D-UNIVERSITY-OF-KANSAS-SCHOOL-OF-MEDICINE,US-UNIVERSITY-OF-KANSAS,dean,medicine,University of Kansas School of Medicine,,,,,,
US-UNIVERSITY-OF-OKLAHOMA-D-COLLEGE-OF-PHARMACY,US-UNIVERSITY-OF-OKLAHOMA,dean,pharmacy,College of Pharmacy,,,,,,
US-UNIVERSITY-OF-GEORGIA-D-UNIVERSITY-OF-GEORGIA-SCHOOL-OF-LAW,US-UNIVERSITY-OF-GEORGIA,dean,law,University of Georgia School of Law,,,,,,
US-UNIVERSITY-OF-SOUTHERN-CALIFORNIA-D-USC-GOULD-SCHOOL-OF-LAW,US-UNIVERSITY-OF-SOUTHERN-CALIFORNIA,dean,law,USC Gould School of Law,,,,,,
US-UNIVERSITY-OF-IOWA-D-COLLEGE-OF-LIBERAL-ARTS-AND-SCIENCES,US-UNIVERSITY-OF-IOWA,dean,arts_sciences,College of Liberal Arts and Sciences,,,,,,
US-YALE-UNIVERSITY-D-YALE-SCHOOL-OF-THE-ENVIRONMENT,US-YALE-UNIVERSITY,dean,agriculture,Yale School of the Environment,,,,,,
US-UNIVERSITY-OF-SOUTH-CAROLINA-D-UNIVERSITY-OF-SOUTH-CAROLINA-JOSEPH-F-RICE-SCHOO,US-UNIVERSITY-OF-SOUTH-CAROLINA,dean,law,University of South Carolina Joseph F. Rice School of Law,,,,,,
US-UNIVERSITY-OF-TEXAS-AUSTIN-D-UNIVERSITY-OF-TEXAS-SCHOOL-OF-LAW,US-UNIVERSITY-OF-TEXAS-AUSTIN,dean,law,University of Texas School of Law,,,,,,
US-OHIO-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES,US-OHIO-UNIVERSITY,dean,arts_sciences,College of Arts and Sciences,,,,,,
US-UNIVERSITY-OF-HAWAII-MANOA-D-COLLEGE-OF-TROPICAL-AGRICULTURE-AND-HUMAN-RESILI,US-UNIVERSITY-OF-HAWAII-MANOA,dean,agriculture,College of Tropical Agriculture and Human Resilience,,,,,,
US-UNIVERSITY-OF-CHICAGO-D-UNIVERSITY-OF-CHICAGO-LAW-SCHOOL,US-UNIVERSITY-OF-CHICAGO,dean,law,University of Chicago Law School,,,,,,
US-WEST-VIRGINIA-UNIVERSITY-D-WEST-VIRGINIA-UNIVERSITY-COLLEGE-OF-LAW,US-WEST-VIRGINIA-UNIVERSITY,dean,law,West Virginia University College of Law,,,,,,
US-MISSISSIPPI-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE-AND-LIFE-SCIENCES,US-MISSISSIPPI-STATE-UNIVERSITY,dean,agriculture,College of Agriculture and Life Sciences,,,,,,
US-MONTANA-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE,US-MONTANA-STATE-UNIVERSITY,dean,agriculture,College of Agriculture,,,,,,
US-VIRGINIA-TECH-D-COLLEGE-OF-AGRICULTURE-AND-LIFE-SCIENCES,US-VIRGINIA-TECH,dean,agriculture,College of Agriculture and Life Sciences,,,,,,
US-UNIVERSITY-OF-GEORGIA-D-COLLEGE-OF-PHARMACY,US-UNIVERSITY-OF-GEORGIA,dean,pharmacy,College of Pharmacy,,,,,,
US-WAKE-FOREST-UNIVERSITY-D-WAKE-FOREST-UNIVERSITY-SCHOOL-OF-LAW,US-WAKE-FOREST-UNIVERSITY,dean,law,Wake Forest University School of Law,,,,1834,,
US-UNIVERSITY-OF-UTAH-D-SPENCER-FOX-ECCLES-SCHOOL-OF-MEDICINE,US-UNIVERSITY-OF-UTAH,dean,medicine,Spencer Fox Eccles School of Medicine (University of Utah School of Medicine),,,,,,
US-UNIVERSITY-OF-VIRGINIA-D-UNIVERSITY-OF-VIRGINIA-SCHOOL-OF-MEDICINE,US-UNIVERSITY-OF-VIRGINIA,dean,medicine,University of Virginia School of Medicine,,,,,,
US-COLLEGE-OF-WILLIAM-AND-MARY-D-COLLEGE-OF-ARTS-AND-SCIENCES,US-COLLEGE-OF-WILLIAM-AND-MARY,dean,arts_sciences,College of Arts & Sciences (Faculty of Arts and Sciences),,,,,,
US-UNIVERSITY-OF-MISSISSIPPI-D-COLLEGE-OF-LIBERAL-ARTS,US-UNIVERSITY-OF-MISSISSIPPI,dean,arts_sciences,College of Liberal Arts,,,,,,
US-LOUISIANA-STATE-UNIVERSITY-D-LOUISIANA-STATE-UNIVERSITY-PAUL-M-HEBERT-LAW-CEN,US-LOUISIANA-STATE-UNIVERSITY,dean,law,Louisiana State University Paul M. Hebert Law Center,,,,,,
US-HARVARD-UNIVERSITY-D-HARVARD-GRADUATE-SCHOOL-OF-EDUCATION,US-HARVARD-UNIVERSITY,dean,education,Harvard Graduate School of Education,,,,,,
US-SYRACUSE-UNIVERSITY-D-SCHOOL-OF-EDUCATION,US-SYRACUSE-UNIVERSITY,dean,education,School of Education,,,,,,
US-UNIVERSITY-OF-GEORGIA-D-WARNELL-SCHOOL-OF-FORESTRY-AND-NATURAL-RESOURCES,US-UNIVERSITY-OF-GEORGIA,dean,agriculture,Warnell School of Forestry and Natural Resources,,,,,,
US-UNIVERSITY-OF-WISCONSIN-MADISON-D-UNIVERSITY-OF-WISCONSIN-SCHOOL-OF-MEDICINE-AND-P,US-UNIVERSITY-OF-WISCONSIN-MADISON,dean,medicine,University of Wisconsin School of Medicine and Public Health,,,,,,
US-PURDUE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE,US-PURDUE-UNIVERSITY,dean,agriculture,College of Agriculture,,,,,,
US-AUBURN-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,US-AUBURN-UNIVERSITY,dean,veterinary,College of Veterinary Medicine,,,,,,
US-COLORADO-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE-AND-BIOMEDICAL-SC,US-COLORADO-STATE-UNIVERSITY,dean,veterinary,College of Veterinary Medicine and Biomedical Sciences,,,,,,
US-INDIANA-UNIVERSITY-BLOOMINGTON-D-SCHOOL-OF-EDUCATION,US-INDIANA-UNIVERSITY-BLOOMINGTON,dean,education,School of Education,,,,,,
US-KANSAS-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE,US-KANSAS-STATE-UNIVERSITY,dean,agriculture,College of Agriculture,,,,,,
US-MICHIGAN-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE-AND-NATURAL-RESOURCES,US-MICHIGAN-STATE-UNIVERSITY,dean,agriculture,College of Agriculture and Natural Resources,,,,,,
US-OREGON-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURAL-SCIENCES,US-OREGON-STATE-UNIVERSITY,dean,agriculture,College of Agricultural Sciences,,,,,,
US-UNIVERSITY-OF-KENTUCKY-D-MARTIN-GATTON-COLLEGE-OF-AGRICULTURE-FOOD-AND-EN,US-UNIVERSITY-OF-KENTUCKY,dean,agriculture,"Martin-Gatton College of Agriculture, Food and Environment",,,,,,
US-UNIVERSITY-OF-MISSISSIPPI-D-SCHOOL-OF-PHARMACY,US-UNIVERSITY-OF-MISSISSIPPI,dean,pharmacy,School of Pharmacy,,,,,,
US-UNIVERSITY-OF-FLORIDA-D-UNIVERSITY-OF-FLORIDA-FREDRIC-G-LEVIN-COLLEGE-OF,US-UNIVERSITY-OF-FLORIDA,dean,law,University of Florida Fredric G. Levin College of Law (UF Law),,,,,,
US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES-D-SCHOOL-OF-NURSING,US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES,dean,nursing,School of Nursing,,,,,,
US-JOHNS-HOPKINS-UNIVERSITY-D-SCHOOL-OF-EDUCATION,US-JOHNS-HOPKINS-UNIVERSITY,dean,education,School of Education,,,,,,
US-UNIVERSITY-OF-OKLAHOMA-D-JEANNINE-RAINBOLT-COLLEGE-OF-EDUCATION,US-UNIVERSITY-OF-OKLAHOMA,dean,education,Jeannine Rainbolt College of Education,,,,,,
US-UNIVERSITY-OF-IDAHO-D-COLLEGE-OF-NATURAL-RESOURCES,US-UNIVERSITY-OF-IDAHO,dean,agriculture,College of Natural Resources,,,,,,
US-UNIVERSITY-OF-NEBRASKA-LINCOLN-D-COLLEGE-OF-AGRICULTURAL-SCIENCES-AND-NATURAL-RES,US-UNIVERSITY-OF-NEBRASKA-LINCOLN,dean,agriculture,College of Agricultural Sciences and Natural Resources,,,,,,
US-ARKANSAS-STATE-UNIVERSITY-CENTRAL,US-ARKANSAS-STATE-UNIVERSITY,president,central,Office of the Chancellor,,,,1909,,
US-STANFORD-UNIVERSITY-D-STANFORD-UNIVERSITY-SCHOOL-OF-MEDICINE,US-STANFORD-UNIVERSITY,dean,medicine,Stanford University School of Medicine,,,,,,
US-UNIVERSITY-OF-FLORIDA-D-COLLEGE-OF-LIBERAL-ARTS-AND-SCIENCES,US-UNIVERSITY-OF-FLORIDA,dean,arts_sciences,College of Liberal Arts and Sciences,,,,,,
US-OREGON-STATE-UNIVERSITY-D-COLLEGE-OF-FORESTRY,US-OREGON-STATE-UNIVERSITY,dean,agriculture,College of Forestry,,,,,,
US-PURDUE-UNIVERSITY-D-COLLEGE-OF-PHARMACY,US-PURDUE-UNIVERSITY,dean,pharmacy,College of Pharmacy,,,,,,
US-MICHIGAN-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,US-MICHIGAN-STATE-UNIVERSITY,dean,veterinary,College of Veterinary Medicine,,,,,,
US-UNIVERSITY-OF-FLORIDA-D-COLLEGE-OF-EDUCATION,US-UNIVERSITY-OF-FLORIDA,dean,education,College of Education,,,,,,
US-UNIVERSITY-OF-CALIFORNIA-RIVERSIDE-D-COLLEGE-OF-NATURAL-AND-AGRICULTURAL-SCIENCES,US-UNIVERSITY-OF-CALIFORNIA-RIVERSIDE,dean,agriculture,College of Natural and Agricultural Sciences,,,,,,
US-UNIVERSITY-OF-UTAH-D-S-J-QUINNEY-COLLEGE-OF-LAW,US-UNIVERSITY-OF-UTAH,dean,law,S.J. Quinney College of Law,,,,,,
US-CALIFORNIA-STATE-UNIVERSITY-FRESNO-D-KREMEN-SCHOOL-OF-EDUCATION-AND-HUMAN-DEVELOPMENT,US-CALIFORNIA-STATE-UNIVERSITY-FRESNO,dean,education,Kremen School of Education and Human Development,,,,1911,,
US-UNIVERSITY-OF-ARKANSAS-D-COLLEGE-OF-EDUCATION-AND-HEALTH-PROFESSIONS,US-UNIVERSITY-OF-ARKANSAS,dean,education,College of Education and Health Professions,,,,,,
US-UNIVERSITY-OF-CALIFORNIA-BERKELEY-D-BERKELEY-SCHOOL-OF-EDUCATION,US-UNIVERSITY-OF-CALIFORNIA-BERKELEY,dean,education,Berkeley School of Education,,,,,,
US-INDIANA-UNIVERSITY-BLOOMINGTON-D-SCHOOL-OF-NURSING,US-INDIANA-UNIVERSITY-BLOOMINGTON,dean,nursing,School of Nursing,,,,,,
US-UNIVERSITY-OF-IDAHO-D-COLLEGE-OF-AGRICULTURAL-AND-LIFE-SCIENCES,US-UNIVERSITY-OF-IDAHO,dean,agriculture,College of Agricultural and Life Sciences,,,,,,
US-UNIVERSITY-OF-NEW-HAMPSHIRE-D-COLLEGE-OF-LIFE-SCIENCES-AND-AGRICULTURE,US-UNIVERSITY-OF-NEW-HAMPSHIRE,dean,agriculture,College of Life Sciences and Agriculture,,,,,,
US-EMORY-UNIVERSITY-D-EMORY-UNIVERSITY-SCHOOL-OF-LAW,US-EMORY-UNIVERSITY,dean,law,Emory University School of Law,,,,,,
US-TEXAS-A-AND-M-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE-AND-BIOMEDICAL-SC,US-TEXAS-A-AND-M-UNIVERSITY,dean,veterinary,College of Veterinary Medicine & Biomedical Sciences,,,,,,
US-STANFORD-UNIVERSITY-D-GRADUATE-SCHOOL-OF-EDUCATION,US-STANFORD-UNIVERSITY,dean,education,Graduate School of Education,,,,,,
US-NORTH-CAROLINA-STATE-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE-AND-LIFE-SCIENCES,US-NORTH-CAROLINA-STATE-UNIVERSITY,dean,agriculture,College of Agriculture and Life Sciences,,,,,,
US-UNIVERSITY-OF-SOUTHERN-CALIFORNIA-D-ROSSIER-SCHOOL-OF-EDUCATION,US-UNIVERSITY-OF-SOUTHERN-CALIFORNIA,dean,education,Rossier School of Education,,,,,,
US-TEMPLE-UNIVERSITY-D-COLLEGE-OF-EDUCATION-AND-HUMAN-DEVELOPMENT,US-TEMPLE-UNIVERSITY,dean,education,College of Education and Human Development,,,,,,
US-UNIVERSITY-OF-CONNECTICUT-D-NEAG-SCHOOL-OF-EDUCATION,US-UNIVERSITY-OF-CONNECTICUT,dean,education,Neag School of Education,,,,,,
US-BAYLOR-UNIVERSITY-D-COLLEGE-OF-ARTS-AND-SCIENCES,US-BAYLOR-UNIVERSITY,dean,arts_sciences,College of Arts and Sciences,,,,,,
US-UNIVERSITY-OF-NOTRE-DAME-D-COLLEGE-OF-ARTS-AND-LETTERS,US-UNIVERSITY-OF-NOTRE-DAME,dean,arts_sciences,College of Arts and Letters,,,,,,
US-KANSAS-STATE-UNIVERSITY-D-COLLEGE-OF-VETERINARY-MEDICINE,US-KANSAS-STATE-UNIVERSITY,dean,veterinary,College of Veterinary Medicine,,,,,,
US-WAYNE-STATE-UNIVERSITY-D-COLLEGE-OF-EDUCATION,US-WAYNE-STATE-UNIVERSITY,dean,education,College of Education,,,,,,
US-UNIVERSITY-OF-FLORIDA-D-COLLEGE-OF-AGRICULTURAL-AND-LIFE-SCIENCES,US-UNIVERSITY-OF-FLORIDA,dean,agriculture,College of Agricultural and Life Sciences,,,,,,
US-UNIVERSITY-OF-NORTH-CAROLINA-GREENSBORO-D-SCHOOL-OF-EDUCATION,US-UNIVERSITY-OF-NORTH-CAROLINA-GREENSBORO,dean,education,School of Education,,,,1891,,
US-CASE-WESTERN-RESERVE-UNIVERSITY-D-FRANCES-PAYNE-BOLTON-SCHOOL-OF-NURSING,US-CASE-WESTERN-RESERVE-UNIVERSITY,dean,nursing,Frances Payne Bolton School of Nursing,,,,,,
US-YALE-UNIVERSITY-D-SCHOOL-OF-NURSING,US-YALE-UNIVERSITY,dean,nursing,School of Nursing,,,,,,
US-PENNSYLVANIA-STATE-UNIVERSITY-D-COLLEGE-OF-EDUCATION,US-PENNSYLVANIA-STATE-UNIVERSITY,dean,education,College of Education,,,,,,
US-UNIVERSITY-OF-WISCONSIN-MADISON-D-SCHOOL-OF-NURSING,US-UNIVERSITY-OF-WISCONSIN-MADISON,dean,nursing,School of Nursing,,,,,,
US-AUBURN-UNIVERSITY-D-COLLEGE-OF-AGRICULTURE,US-AUBURN-UNIVERSITY,dean,agriculture,College of Agriculture,,,,,,
US-WAYNE-STATE-UNIVERSITY-D-EUGENE-APPLEBAUM-COLLEGE-OF-PHARMACY-AND-HEALTH,US-WAYNE-STATE-UNIVERSITY,dean,pharmacy,Eugene Applebaum College of Pharmacy and Health Sciences,,,,,,
US-UNIVERSITY-OF-MARYLAND-COLLEGE-PARK-D-COLLEGE-OF-AGRICULTURE-AND-NATURAL-RESOURCES,US-UNIVERSITY-OF-MARYLAND-COLLEGE-PARK,dean,agriculture,College of Agriculture and Natural Resources,,,,,,
US-DUQUESNE-UNIVERSITY-D-SCHOOL-OF-PHARMACY,US-DUQUESNE-UNIVERSITY,dean,pharmacy,School of Pharmacy,,,,1878,,
US-UNIVERSITY-OF-FLORIDA-D-COLLEGE-OF-PHARMACY,US-UNIVERSITY-OF-FLORIDA,dean,pharmacy,College of Pharmacy,,,,,,
US-UNIVERSITY-OF-MIAMI-D-UNIVERSITY-OF-MIAMI-SCHOOL-OF-LAW,US-UNIVERSITY-OF-MIAMI,dean,law,University of Miami School of Law,,,,,,
US-NORTHWESTERN-UNIVERSITY-D-SCHOOL-OF-EDUCATION-AND-SOCIAL-POLICY,US-NORTHWESTERN-UNIVERSITY,dean,education,School of Education and Social Policy,,,,,,
US-UNIVERSITY-OF-ARKANSAS-LITTLE-ROCK-CENTRAL,US-UNIVERSITY-OF-ARKANSAS-LITTLE-ROCK,president,central,Office of the Chancellor,,,,1927,,
US-WAYNE-STATE-UNIVERSITY-D-WAYNE-STATE-UNIVERSITY-LAW-SCHOOL,US-WAYNE-STATE-UNIVERSITY,dean,law,Wayne State University Law School,,,,,,
US-DUKE-UNIVERSITY-D-DUKE-UNIVERSITY-SCHOOL-OF-MEDICINE,US-DUKE-UNIVERSITY,dean,medicine,Duke University School of Medicine,,,,,,
US-BOSTON-COLLEGE-D-BOSTON-COLLEGE-LAW-SCHOOL,US-BOSTON-COLLEGE,dean,law,Boston College Law School,,,,,,
US-TEMPLE-UNIVERSITY-D-LEWIS-KATZ-SCHOOL-OF-MEDICINE-AT-TEMPLE-UNIVERSI,US-TEMPLE-UNIVERSITY,dean,medicine,Lewis Katz School of Medicine at Temple University,,,,,,
US-NORTH-CAROLINA-STATE-UNIVERSITY-D-COLLEGE-OF-NATURAL-RESOURCES,US-NORTH-CAROLINA-STATE-UNIVERSITY,dean,agriculture,College of Natural Resources,,,,,,
US-LOUISIANA-STATE-UNIVERSITY-D-LSU-HEALTH-NEW-ORLEANS-SCHOOL-OF-MEDICINE,US-LOUISIANA-STATE-UNIVERSITY,dean,medicine,LSU Health New Orleans School of Medicine,,,,,,
US-DUKE-UNIVERSITY-D-SCHOOL-OF-NURSING,US-DUKE-UNIVERSITY,dean,nursing,School of Nursing,,,,,,
US-UNIVERSITY-BUFFALO-D-GRADUATE-SCHOOL-OF-EDUCATION,US-UNIVERSITY-BUFFALO,dean,education,Graduate School of Education,,,,,,
US-UNIVERSITY-OF-HAWAII-MANOA-D-COLLEGE-OF-EDUCATION,US-UNIVERSITY-OF-HAWAII-MANOA,dean,education,College of Education,,,,,,
US-UNIVERSITY-OF-CHICAGO-D-DIVISION-OF-THE-SOCIAL-SCIENCES,US-UNIVERSITY-OF-CHICAGO,dean,arts_sciences,Division of the Social Sciences,,,,,,
US-LOUISIANA-STATE-UNIVERSITY-D-LSU-COLLEGE-OF-AGRICULTURE,US-LOUISIANA-STATE-UNIVERSITY,dean,agriculture,LSU College of Agriculture,,,,,,
US-UNIVERSITY-OF-GEORGIA-D-COLLEGE-OF-AGRICULTURAL-AND-ENVIRONMENTAL-SCIENC,US-UNIVERSITY-OF-GEORGIA,dean,agriculture,College of Agricultural and Environmental Sciences,,,,,,
US-UNIVERSITY-OF-MAINE-D-COLLEGE-OF-EARTH-LIFE-AND-HEALTH-SCIENCES,US-UNIVERSITY-OF-MAINE,dean,agriculture,"College of Earth, Life, and Health Sciences",,,,,,
US-UNIVERSITY-OF-MICHIGAN-D-UNIVERSITY-OF-MICHIGAN-MEDICAL-SCHOOL,US-UNIVERSITY-OF-MICHIGAN,dean,medicine,University of Michigan Medical School,,,,,,
US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES-D-UNIVERSITY-OF-MINNESOTA-MEDICAL-SCHOOL,US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES,dean,medicine,University of Minnesota Medical School,,,,,,
US-WEST-VIRGINIA-UNIVERSITY-D-SCHOOL-OF-PHARMACY,US-WEST-VIRGINIA-UNIVERSITY,dean,pharmacy,School of Pharmacy,,,,,,
US-DUKE-UNIVERSITY-D-NICHOLAS-SCHOOL-OF-THE-ENVIRONMENT,US-DUKE-UNIVERSITY,dean,agriculture,Nicholas School of the Environment,,,,,,
US-UNIVERSITY-OF-PITTSBURGH-D-SCHOOL-OF-NURSING,US-UNIVERSITY-OF-PITTSBURGH,dean,nursing,School of Nursing,,,,,,
