person_id,full_name,gender,highest_degree,degree_field,doctoral_institution_id,prior_position_title,prior_position_institution_id,prior_dean_experience,prior_president_experience,person_birth_year,first_appearance_year
P00030,William B. Burney,m,phd,,,,,,,,1888
P00031,Edward D. Porter,m,phd,,,,,,,,1889
P00032,Thomas J. Freeman,m,phd,,,"Justice, Tennessee Supreme Court",,,,,1890
P00033,Willis G. Gregory,m,phd,,,,,,,,1890
P00034,John Marshall,m,phd,,,,US-UNIVERSITY-OF-PENNSYLVANIA,,,,1890
P00035,William Albert Keener,m,phd,,,,,,,,1891
P00036,Francis Miles Finch,m,phd,,,,,,,,1891
P00037,A. C. Avery,m,phd,,,,,,,,1891
P00038,Robert G. Eccles,m,phd,,,,,,,,1891
P00039,Moses Hallett,m,phd,,,"U.S. District Judge, District of Colorado",,,,,1892
P00040,Jeremiah Eskridge,m,phd,,,,,,,,1892
P00041,David Hamilton Robinson,m,phd,,US-UNIVERSITY-OF-ROCHESTER,KU faculty,,,,,1892
P00042,Thomas F. Hunt,m,phd,Agriculture,,"Professor of agriculture, The Ohio State University (elected after Norton S. Townshend resigned the agriculture chair in 1891)",,,,,1892
P00043,Elias H. Bartley,m,phd,,,,,,,,1892
P00044,Frederick J. Wulling,m,phd,,,,,,,,1892
P00045,William H. Welch,m,phd,,,"Professor of Pathology, Johns Hopkins University",,,,,1893
P00046,James Kennedy,m,phd,,,Chairman at the school's establishment,,,,,1893
P00047,Charles Hill,m,phd,,,"Professor of chemistry, botany, and microscopy",,,,,1894
P00048,James Law,m,phd,,,Professor of Veterinary Medicine and Surgery (from 1868),US-CORNELL-UNIVERSITY,,,,1894
P00049,G.S. Harrison,m,phd,,,,,,,,1895
P00050,John Douglass Shafer,m,phd,,,,,,,,1895
P00051,Clayton Parkhill,m,phd,,,,,,,,1895
P00052,Ephraim Miller,m,phd,,,KU faculty (mathematics),,,,,1895
P00053,Eugene Davenport,m,phd,,,,,,,,1895
P00054,William M. Liggett,m,phd,,,,,,,,1895
P00055,H.J. Waters,m,phd,,,,,,,,1895
P00056,George Beecher Kauffman,m,phd,,,Wholesale druggist / business owner,,,,,1895
P00057,Henry Coffenberry Myers,m,phd,,,,,,,,1895
P00058,David S. White,m,phd,,,"Faculty member, School of Veterinary Medicine (Ohio State DVM class of 1890)",US-OHIO-STATE-UNIVERSITY,,,,1895
P00059,Sofus B. Nelson,m,phd,,,Veterinary practitioner (Iowa State College graduate) in private practice,,,,,1895
P00060,William Draper Lewis,m,phd,,,"First full-time faculty member, University of Pennsylvania Law School",,,,,1896
P00061,Luman Giffin,m,phd,,,,,,,,1897
P00062,James Wilson,m,phd,,,,,,,,1897
P00063,Leonard Pearson,m,phd,,,,,,,,1897
P00064,Ellen Spencer Mussey,f,phd,,,,,,,,1898
P00065,Frank M. Reade,m,phd,,,,,,,,1898
P00066,John P. Sutherland,m,phd,,,,,,,,1899
P00067,William H. Howell,m,phd,,,"Professor of Physiology, Johns Hopkins University",,,,,1899
P00068,Samuel Wendell Williston,m,phd,,,"Professor of geology and paleontology, University of Kansas",,,,,1899
P00069,Edwin C. DeBarr,m,phd,,,original faculty member; head of pharmacy department from 1893,,,,,1899
P00070,Horace G. Byers,m,phd,,,,,,,,1899
P00071,William Sylvanus Morris,m,phd,,,,,,,,1900
P00072,Lewis A. Groff,m,phd,,,,,,,,1900
P00073,Amos Currier,m,phd,,,Professor of Latin Language & Literature,,,,,1900
P00074,Henry S. Graves,m,phd,,,"Assistant to the Chief, Division of Forestry, U.S. Department of Agriculture",,,,,1900
P00075,John H. McNeil,m,phd,,,,,,,,1900
P00076,George Washington Kirchwey,m,phd,,,,,,,,1901
P00077,Joseph Daniel Pope,m,phd,,,,,,,,1901
P00078,George L. Sanders,m,phd,,,,,,,,1901
P00079,John C. Townes,m,phd,,,Judge and law faculty member,,,,,1901
P00080,Charles William Super,m,phd,,,Ohio University faculty/administrator,,,,,1901
P00081,Jared G. Smith,m,phd,,,,,,,,1901
P00082,Joseph Henry Beale,m,phd,,,"Professor, Harvard Law School",,,,,1902
P00083,John Campbell,m,phd,,,,,,,,1902
P00084,Daniel M. Hammack,m,phd,,,,,,,,1902
P00085,Charles F. Curtiss,m,phd,,,"Professor of Animal Husbandry, Iowa State College",,,,,1902
P00086,William D. Anderson,m,phd,,,,,,,,1902
P00087,Charles Willis Johnson,m,phd,,,,,,,,1902
P00088,Ernest Wilson Huffcut,m,phd,,,,,,,,1903
P00089,St. George Tucker Brooke,m,phd,,,,,,,,1903
P00090,Olin Templin,m,phd,,,KU faculty (philosophy),,,,,1903
P00091,Liberty Hyde Bailey,m,phd,,,"Professor of Horticulture, Cornell University",,,,,1903
P00092,W. L. Hutchinson,m,phd,,,,,,,,1903
P00093,Frederic B. Linfield,m,phd,,,,,,,,1903
P00094,Andrew M. Soule,m,phd,,,,,,,,1903
P00095,Samuel C. Benedict,m,phd,,,local physician,,,,,1903
P00096,Samuel Fox Mordecai,m,phd,,,,,,,,1904
P00097,James Parker Hall,m,phd,,,,,,,,1904
P00098,Frank M. Porter,m,phd,,,,,,,,1904
P00099,William Marshall Warren,m,phd,,,"Professor, BU",,,,,1904
P00100,W. J. Teeters,m,phd,,,,,,,,1904
P00101,Needham Yancey Gulley,m,phd,,,North Carolina attorney and newspaperman,,,,,1905
P00102,Ralph Vary Chamberlin,m,phd,,,,,,,,1905
P00103,Richard Henry Whitehead,m,phd,,,,,,,,1905
P00104,John Lesslie Hall,m,phd,,,Professor of English,,,,,1905
P00105,Alfred Hume,m,phd,,,Professor of Mathematics,,,,,1905
P00106,Homer C. Price,m,phd,,,,,,,,1905
P00107,Joseph Kelly,m,phd,,,,,,,,1906
P00108,Charles E. Hogg,m,phd,,,,,,,,1906
P00109,Paul Henry Hanus,m,phd,,,"Professor of the history and art of teaching, Harvard",,,,,1906
P00110,Jacob Richard Street,m,phd,,,,,,,,1906
P00111,Alfred A. Akerman,m,phd,,,,,,,,1906
P00112,W. J. Quick,m,phd,,,,,,,,1906
P00113,Frank Irvine,m,phd,,,,,,,,1907
P00114,John D. Fleming,m,phd,,,,,,,,1907
P00115,William Harlow,m,phd,,,,,,,,1907
P00116,Charles Russell Bardeen,m,phd,,,,,,,,1907
P00117,Edwin Watts Chubb,m,phd,,,English faculty,,,,,1907
P00118,Laenas Weld,m,phd,,,Professor of Mathematics,,,,,1907
P00119,John Harrison Skinner,m,phd,,,"Professor of Animal Husbandry, Purdue University",,,,,1907
P00120,Eugene W. Randall,m,phd,,,,,,,,1907
P00121,Harry L. Russell,m,phd,,US-JOHNS-HOPKINS-UNIVERSITY,,,,,,1907
P00122,Charles Allen Cary,m,phd,,,Professor of Veterinary Science (hired 1892 as the institution's first veterinary professor),,,,,1907
P00123,George H. Glover,m,phd,,,Professor of veterinary science and head of the Department of Veterinary Science,,,,,1907
P00124,M. Herndon Moore,m,phd,,,,,,,,1908
P00125,William Lowe Bryan,m,phd,,,,,,,,1908
P00126,E. H. Webster,m,phd,,,,,,,,1908
P00127,Robert S. Shaw,m,phd,,,"Assistant professor of agriculture and animal husbandry, Michigan Agricultural College (previously the same rank at Montana State College, 1898-1902)",,,,,1908
P00128,A. B. Cordley,m,phd,,,"Professor of entomology/plant pathology, Oregon Agricultural College",,,,,1908
P00129,E.V. Wilcox,m,phd,,,,,,,,1908
P00130,John Gilmore,m,phd,,,,,,,,1908
P00131,Clarence Wentworth Mathews,m,phd,,,,,,,,1908
P00132,John Olsen,m,phd,,,,,,,,1908
P00133,Harvey L. Price,m,phd,,,,,,,,1908
P00134,Henry Minor Faser,m,phd,,,"Practicing pharmacist, Oxford, MS; established Department of Pharmacy in 1908",,,,,1908
P00135,Veranus Alva Moore,m,phd,,,"Professor of comparative pathology, bacteriology and meat inspection",,,,,1908
P00136,Robert Lee Tullis,m,phd,,,,,,,,1909
P00137,Albert J. Farrah,m,phd,,,,,,,,1909
P00138,Bertha Erdmann,f,phd,,,,,,,,1909
P00139,Edward F. Buchner,m,phd,,,,,,,,1909
P00140,Walter Erwin,m,phd,,,,,,,,1909
P00141,William Wilcox,m,phd,,,Professor of History,,,,,1909
P00142,Charles Houston Shattuck,m,phd,,,,,,,,1909
P00143,Frederick Blackbar Mumford,m,phd,,,"Professor of Animal Husbandry, University of Missouri",,,,,1909
P00144,Edgar Albert Burnett,m,phd,,,"Associate Dean of the Industrial College, University of Nebraska (from 1901)",,,,,1909
P00145,Charles H. Stange,m,phd,,,,,,,,1909
P00146,Victor C. Kays,m,phd,,,Director,,,,,1910
P00147,Harlan Fiske Stone,m,phd,,,,,,,,1910
P00148,"John P. Thomas, Jr.",m,phd,,,,,,,,1910
P00149,John Maxson Stillman,m,phd,,,"Professor of Chemistry, Stanford University",,,,,1910
P00150,Louise M. Powell,f,phd,,,,,,,,1910
P00151,James Nesbitt Anderson,m,phd,,US-JOHNS-HOPKINS-UNIVERSITY,"Professor and chair of ancient languages, University of Florida",,,,,1910
P00152,George W. Peavy,m,phd,,,OSU forestry faculty; first head of forestry instruction,,,,,1910
P00153,Albert F. Woods,m,phd,,,,,,,,1910
P00154,James W. Toumey,m,phd,,,"Morris K. Jesup Professor of Silviculture, Yale Forest School",,,,,1910
P00155,Charles B. Jordan,m,phd,,,Head of the School of Pharmacy,,,,,1910
P00156,Richard P. Lyman,m,phd,,,,,,,,1910
P00157,Louis A. Klein,m,phd,,,,,,,,1910
P00158,William R. Vance,m,phd,,,,,,,,1911
P00159,J. Whitridge Williams,m,phd,,,"Professor of Obstetrics, Johns Hopkins University",,,,,1911
P00160,Ray Lyman Wilbur,m,phd,,,"Professor of Medicine, Stanford University",,,,,1911
P00161,Thomas Hughes,m,phd,,,,,,,,1912
P00162,William Wesley Black,m,phd,,,,,,,,1912
P00163,Walter Albert Jessup,m,phd,,,,,,,,1912
P00164,John A. Thackston,m,phd,,,,,,,,1912
P00165,J. C. Roberts,m,phd,,,,,,,,1912
P00166,Herbert J. Webber,m,phd,,,"Professor of plant breeding, Cornell University",,,,,1912
P00167,Joseph Hoeing Kastle,m,phd,Chemistry,US-JOHNS-HOPKINS-UNIVERSITY,,,,,,1912
P00168,Frank E. Holman,m,phd,,,Practicing attorney; Rhodes Scholar (Oxford),,,,,1913
P00169,Henry C. Jones,m,phd,,,,,,,,1913
P00170,C. L. McLane,m,phd,,,President,,,,,1913
P00171,James Jewell,m,phd,,,,,,,,1913
P00172,Alexis Frederick Lange,m,phd,,,"Professor of English and Education, UC Berkeley",,,,,1913
P00173,Warren W. Phelan,m,phd,,,,,,,,1913
P00174,W. M. Jardine,m,phd,,,,,,,,1913
P00175,Albert Bolenbaugh,m,phd,,,,,,,,1913
P00176,Emma M. Gillett,f,phd,,,,,,,,1914
P00177,William Ephraim Mikell,m,phd,,,,,,,,1914
P00178,Alice Fitzgerald,f,phd,,,,,,,,1914
P00179,Beverly T. Galloway,m,phd,,,"Chief of the Bureau of Plant Industry, U.S. Department of Agriculture",,,,,1914
P00180,James B. Berry,m,phd,,,,,,,,1914
P00181,Robert C. Wilson,m,phd,,,faculty/director of the school,,,,,1914
P00182,Harry R. Trusler,m,phd,,,,,,,,1915
P00183,William H. Leary,m,phd,,,Law faculty member,,,,,1915
P00184,Ethel P. Clarke,f,phd,,,,,,,,1915
P00185,Alfred Vivian,m,phd,,,"Professor of agricultural chemistry, The Ohio State University",,,,,1915
P00186,John M. Westgate,m,phd,,,,,,,,1915
P00187,Edward John Iddings,m,phd,,,"Faculty member, University of Idaho (joined 1910); previously with the U.S. Department of Agriculture",,,,,1915
P00188,Frederick W. Taylor,m,phd,,,"Professor of Agronomy and head of the department of agriculture, New Hampshire College of Agriculture and the Mechanic Arts",,,,,1915
P00189,Edwin Hamlin Woodruff,m,phd,,,,,,,,1916
P00190,William D. Thomson,m,phd,,,,,,,,1916
P00191,William Ophuls,m,phd,,,"Professor of Pathology, Stanford University",,,,,1916
P00192,Charles Meader,m,phd,,,,,,,,1916
P00193,Theodore Hough,m,phd,,US-JOHNS-HOPKINS-UNIVERSITY,,,,,,1916
P00194,Henry Lester Smith,m,phd,,,,,,,,1916
P00195,George Roberts,m,phd,,,,,,,,1916
P00196,Mark Francis,m,phd,,,,,,,,1916
P00197,Frank Thomas,m,phd,,,Vice President,,,,,1917
P00198,Ellwood P. Cubberley,m,phd,,,Head of the Department of Education at Stanford,,,,,1917
P00199,George Kay,m,phd,Geology,US-UNIVERSITY-OF-CHICAGO,Professor of Geology,,,,,1917
P00200,Albert R. Mann,m,phd,,,"Acting Dean, New York State College of Agriculture, Cornell University",,TRUE,,,1917
P00201,Charles Burgess Williams,m,phd,,,,,,,,1917
P00202,Francis Garner Miller,m,phd,,,,,,,,1917
P00203,Thomas Poe Cooper,m,phd,,,,,,,,1917
P00204,Roscoe W. Thatcher,m,phd,,,,,,,,1917
P00205,Thomas Blanchard Stowell,m,phd,,,,,,,,1918
P00206,F. D. Farrell,m,phd,,,,,,,,1918
P00207,Samuel C. Williams,m,phd,,,,,,,,1919
P00208,George Walk,m,phd,,,,,,,,1919
P00209,Theodore Eaton,m,phd,,,,,,,,1919
P00210,Samuel Riley Spencer,m,phd,,,"Professor of physics, Baylor University",,,,,1919
P00211,"Rev. Joseph Leonard Carrico, C.S.C.",m,phd,,,"Priest and faculty, Notre Dame",,,,,1919
P00212,Ralph R. Dykstra,m,phd,,,,,,,,1919
P00213,Allen G. Flowers,m,phd,,,,,,,,1920
P00214,Everett Fraser,m,phd,,,,,,,,1920
P00215,Alexander Marshall Thompson,m,phd,,,,,,,,1920
P00216,James Nelson Frierson,m,phd,,,,,,,,1920
P00217,Henry Wyman Holmes,m,phd,,,HGSE faculty,,,,,1920
P00218,Albert S. Hurst,m,phd,,,,,,,,1920
P00219,Stuart Appleton Courtis,m,phd,,,,,,,,1920
P00220,Joseph Granger Brandt,m,phd,,,KU faculty,,,,,1920
P00221,Alfred Milden,m,phd,,,,,,,,1920
P00222,Thomas D. Burleigh,m,phd,,,,,,,,1920
P00223,Wortley F. Rugg,m,phd,,,,,,,,1920
P00224,George Gleason Bogert,m,phd,,,,,,,,1921
P00225,J. Warren Madden,m,phd,,,,,,,,1921
P00226,Charles B. Gentry,m,phd,,,,,,,,1921
P00227,Wilmon Newell,m,phd,,,"Plant Commissioner, Florida State Plant Board",,,,,1921
P00228,Walter C. Coffey,m,phd,,,,,,,,1921
P00229,Earl E. Wegner,m,phd,,,Professor of veterinary anatomy and surgery (faculty since 1909),,,,,1921
P00230,John H. Cook,m,phd,,,faculty,,,,,1922
P00231,Herbert W. Mumford,m,phd,,,,,,,,1922
P00232,Elizabeth Harris,f,phd,,,,,,,,1923
P00233,Alexander S. Begg,m,phd,,,,,,,,1923
P00234,Lewis H. Weed,m,phd,,,"Professor of Anatomy, Johns Hopkins University",,,,,1923
P00235,Carolyn E. Gray,f,phd,,,,,,,,1923
P00236,Annie Warburton Goodrich,f,phd,,,"Chief nursing inspector, U.S. Army hospitals",,,,,1923
P00237,Will G. Chambers,m,phd,,,"faculty, Penn State",,,,,1923
P00238,"Rev. Charles C. Miltner, C.S.C.",m,phd,,,"Priest and faculty, Notre Dame",,,,,1923
P00239,Benjamin Wesley Kilgore,m,phd,,,,,,,,1923
P00240,Ward Giltner,m,phd,,,"Head, Department of Bacteriology and Hygiene (from 1912)",,,,,1923
P00241,Huger Wilkinson Jervey,m,phd,,,,,,,,1924
P00242,Paul Bryan,m,phd,,,,,,,,1924
P00243,James Carroll Flippin,m,phd,,,,,,,,1924
P00244,Marion L. Vannier,f,phd,,,,,,,,1924
P00245,Helen Denne Schulte,f,phd,,,,,,,,1924
P00246,William Sims Allen,m,phd,,,Baylor faculty,,,,,1924
P00247,M. J. Funchess,m,phd,,,,,,,,1924
P00248,Roland T. Lakey,m,phd,,,,,,,,1924
P00249,Laura Hopkins Halsey,f,phd,,,,,,,,1925
P00250,Charles Joseph Hilkey,m,phd,,,,,,,,1925
P00251,Maurice Rees,m,phd,,,,,,,,1925
P00252,Warren E. Bow,m,phd,,,,,,,,1925
P00253,L. E. Call,m,phd,,,,,,,,1925
P00254,James N. Lipscomb,m,phd,,,,,,,,1925
P00255,Harry J. Patterson,m,phd,,,"Director, Maryland Agricultural Experiment Station",,,,,1925
P00256,Hugh C. Muldoon,m,phd,,,,,,,,1925
P00257,Townes R. Leigh,m,phd,,US-UNIVERSITY-OF-CHICAGO,Director of the School of Pharmacy,,,,,1925
P00258,L.D. Havenhill,m,phd,,,,,,,,1925
P00259,Emery Tyler Motley,m,phd,,,,,,,,1925
P00260,Grace Hays Riley,f,phd,,,,,,,,1926
P00261,Charles Kellogg Burdick,m,phd,,,,,,,,1926
P00262,Richmond A. Rasco,m,phd,,,,,,,,1926
P00263,John Elbert Stout,m,phd,,,,,,,,1926
P00264,Ellsworth Collings,m,phd,,,,,,,,1926
P00265,Ira Obed Schaub,m,phd,,US-CLEMSON-UNIVERSITY,,,,,,1926
P00266,R.C. Hall,m,phd,,,Superintendent of Schools,,,,,1927
P00267,W. Bryan Bolich,m,phd,,,,,,,,1927
P00268,Justin Miller,m,phd,,,,,,,,1927
P00269,Allan Campbell,m,phd,,,,,,,,1927
P00270,Wilburt C. Davison,m,phd,,,"Faculty, Johns Hopkins School of Medicine",,,,,1927
P00271,Nellie X. Hawkinson,f,phd,,,,,,,,1927
P00272,A. R. Lang,m,phd,,,,,,,,1927
P00273,John Creager,m,phd,,,,,,,,1927
P00274,Young Berryman Smith,m,phd,,,,,,,,1928
P00275,Harry A. Bigelow,m,phd,,,,,,,,1928
P00276,James Grafton Rogers,m,phd,,,,,,,,1928
P00277,Kremer J. Hoke,m,phd,,,,,,,,1928
P00278,William Wesley Burr,m,phd,,,"Head, Department of Agronomy, University of Nebraska (from 1916)",,,,,1928
P00279,Elmer L. Hammond,m,phd,,,,,,,,1928
P00280,Dennis A. Dooley,m,phd,,,,,,,,1929
P00281,Herbert Funk Goodrich,m,phd,,,,,,,,1929
P00282,Alan M. Chesney,m,phd,,,"Faculty, Johns Hopkins University School of Medicine",,,,,1929
P00283,William N. Parkinson,m,phd,,,"Temple School of Medicine graduate (1911), faculty member",,,,,1929
P00284,Florence E. Bamberger,f,phd,,,,,,,,1929
P00285,Charles Prall,m,phd,,,,,,,,1929
P00286,Julius V. Hofmann,m,phd,Forestry,US-UNIVERSITY-OF-MINNESOTA-TWIN-CITIES,,,,,,1929
P00287,Leon D. Batchelor,m,phd,,,"Horticulturist, Citrus Experiment Station, University of California",,,,,1929
P00288,Pierre A. Fish,m,phd,,,Professor of veterinary physiology,,,,,1929
P00289,Oscar V. Brumley,m,phd,,,Secretary of the College of Veterinary Medicine (1912-1929),US-OHIO-STATE-UNIVERSITY,,,,1929
P00290,John A. Larson,m,phd,,,"Principal, Little Rock High School",,,,,1930
P00291,William G. Hale,m,phd,,,,,,,,1930
P00292,Katharine J. Densford,f,phd,,,,,,,,1930
P00293,Harry S. Ganders,m,phd,,,,,,,,1930
P00294,Wilford L. Coffey,m,phd,,,,,,,,1930
P00295,C. L. Christensen,m,phd,,,,,,,,1930
P00296,Harold E. Bemis,m,phd,,,,,,,,1930
P00297,Russell A. Rasco,m,phd,,,,,,,,1931
P00298,Thomas P. Hardman,m,phd,,,,,,,,1931
P00299,Arthur Vidrine,m,phd,,,"Superintendent of Charity Hospital, New Orleans",,,,,1931
P00300,Bessie Baker,f,phd,,,,,,,,1931
P00301,Leslie Cummings,unknown,phd,,,,,,,,1931
P00302,Benjamin Wist,m,phd,,,,,,,,1931
P00303,Waldo F. Lessenger,m,phd,,,,,,,,1931
P00304,Beardsley Ruml,m,phd,Psychology,US-UNIVERSITY-OF-CHICAGO,,,,,,1931
P00305,Jordan Gray Lee Jr.,m,phd,,,,,,,,1931
P00306,William A. Schoenfeld,m,phd,,,,,,,,1931
P00307,Gordon D. Marckworth,m,phd,,,,,,,,1931
P00308,Royal Chapman,m,phd,,,,,,,,1931
P00309,George A. Dick,m,phd,,,,,,,,1931
P00310,Marion G. Howell,f,phd,,,,,,,,1932
P00311,Carl E. Ladd,m,phd,,US-CORNELL-UNIVERSITY,"Director of Extension, New York State College of Agriculture, Cornell University",,,,,1932
P00312,Raymond Hughes,m,phd,,,"President, Iowa State College",,,,,1932
P00313,Ernest L. Anthony,m,phd,,,"Head of the Dairy Department, Michigan State College",,,,,1932
P00314,J. R. Ricks,m,phd,,,,,,,,1932
P00315,William A. Hagan,m,phd,,,Professor of bacteriology and member of the administrative committee governing the college (1931-1932),,,,,1932
P00316,Harmon White Caldwell,m,phd,,,,,,,,1933
P00317,Loren Roscoe Chandler,m,phd,,,"Professor of Surgery, Stanford University",,,,,1933
P00318,Grayson N. Kefauver,m,phd,,,Education faculty/administrator,,,,,1933
P00319,Paul Bowen Lawson,m,phd,,US-UNIVERSITY-OF-KANSAS,KU faculty (entomology),,,,,1933
P00320,Henry Herbert Kildee,m,phd,,,"Head, Department of Animal Husbandry, Iowa State College",,,,,1933
P00321,Henry P. Stuckey,m,phd,,,,,,,,1933
P00322,Arthur L. Deering,m,phd,,,"Director of the Extension Service, University of Maine (earlier assistant director of Extension and Kennebec County extension agent)",,,,,1933
P00323,B.V. Christensen,m,phd,,,,,,,,1933
P00324,H. Claude Horack,m,phd,,,,,,,,1934
P00325,Effie Jane Taylor,f,phd,,,,,,,,1934
P00326,Henry Hotz,m,phd,,,,,,,,1934
P00327,Edward Newlon Jones,m,phd,,,Baylor faculty,,,,,1934
P00328,Robert Redfield,m,phd,Anthropology,US-UNIVERSITY-OF-CHICAGO,,,,,,1934
P00329,Paul Chapman,m,phd,,,,,,,,1934
P00330,Richard E. McArdle,m,phd,,,,,,,,1934
P00331,Isaac E. Newsom,m,phd,,,Professor of veterinary pathology,,,,,1934
P00332,Thomas E. McDonald,m,phd,,,,,,,,1935
P00333,Robert L. Stearns,m,phd,,,,,,,,1935
P00334,John A. Hosch,m,phd,,,,,,,,1935
P00335,Albert C. Furstenberg,m,phd,,,"Professor and chair of Otolaryngology, University of Michigan Medical School",,,,,1935
P00336,Harold S. Diehl,m,phd,,,"Faculty/health service director, University of Minnesota",,,,,1935
P00337,William Shainline Middleton,m,phd,,,,,,,,1935
P00338,Walter Sylvester Gamertsfelder,m,phd,,,Philosophy faculty,,,,,1935
P00339,T. Bowyer Campbell,m,phd,,,"Faculty, Notre Dame",,,,,1935
P00340,Oscar C. Magistad,m,phd,,,,,,,,1935
P00341,Dwight Smithson Jeffers,m,phd,,,,,,,,1935
P00342,Isaac Sadler McAdory,m,phd,,,,,,,,1935
P00343,Victor Coulter,m,phd,,,,,,,,1936
P00344,Earl G. Mason,m,phd,,,OSU forestry faculty,,,,,1936
P00345,Charles H. Rogers,m,phd,,,,,,,,1936
P00346,J. Lester Hayman,m,phd,,,pharmacy faculty,,,,,1936
P00347,Charles Murray,m,phd,,,Head of the Department of Veterinary Research and leader of the Veterinary Research Institute,,,,,1936
P00348,Robert Sproule Stevens,m,phd,,,,,,,,1937
P00349,Paul M. Hebert,m,phd,,,,,,,,1937
P00350,Arthur Neef,m,phd,,,,,,,,1937
P00351,Joseph Rigney D'Aunoy,m,phd,,,"Chairman of Pathology, LSU School of Medicine",,,,,1937
P00352,Ralph Wesley Taylor,m,phd,,,"Faculty, BU",,,,,1937
P00353,Clyde McKee,m,phd,,,,,,,,1937
P00354,Louis A. Henke,m,phd,,,,,,,,1937
P00355,Hugo H. Schaefer,m,phd,,,,,,,,1937
P00356,R. A. Kuever,m,phd,,,,,,,,1937
P00357,Ross P. Marsteller,m,phd,,,,,,,,1937
P00358,Christina Murray,f,phd,,,,,,,,1938
P00359,James Wilkinson Miller,m,phd,,,,,,,,1938
P00360,Clarence F. Korstian,m,phd,,US-YALE-UNIVERSITY,"Director of the Duke Forest and faculty member, Duke University (from 1931)",,,,,1938
P00361,John H. Beaumont,m,phd,,,,,,,,1938
P00362,Joseph C. Blair,m,phd,,,,,,,,1938
P00363,Thomas B. Symons,m,phd,,,"Director, Maryland Extension Service",,,,,1938
P00364,M.F. Miller,m,phd,,,"Professor of Soils, University of Missouri",,,,,1938
P00365,James A. Carlson,m,phd,,,,,,,,1939
P00366,William J. Kenealy,m,phd,,,,,,,,1939
P00367,Wilber G. Katz,m,phd,,,,,,,,1939
P00368,Beryl I. Burns,m,phd,,,"Faculty, LSU School of Medicine",,,,,1939
P00369,Harvey Ernest Jordan,m,phd,,US-PRINCETON-UNIVERSITY,,,,,,1939
P00370,Margaret I. Pinkerton,f,phd,,,,,,,,1939
P00371,Ruth Perkins Kuehn,f,phd,,,,,,,,1939
P00372,E. B. Colmer,m,phd,,,,,,,,1939
P00373,Donald J. Weddell,m,phd,,,,,,,,1939
P00374,Henry P. Rusk,m,phd,,,,,,,,1939
P00375,Samuel J. Record,m,phd,,,"Professor of Forest Products / wood technology, Yale School of Forestry",,,,,1939
P00376,Perry A. Foote,m,phd,,,,,,,,1939
P00377,"Forest ""Foley"" Goodrich",m,phd,,,,,,,,1939
P00378,Abner E. Lipscomb,m,phd,,,,,,,,1940
P00379,Edward C. King,m,phd,,,,,,,,1940
P00380,Eugene Allen Gilmore,m,phd,,,,,,,,1940
P00381,Stanley E. Dorst,m,phd,,,,,,,,1940
P00382,Francis Trow Spaulding,m,phd,,,HGSE faculty,,,,,1940
P00383,P. Roy Brammell,m,phd,,,,,,,,1940
P00384,"Rev. Francis J. Boland, C.S.C.",m,phd,,,"Priest and faculty, Notre Dame",,,,,1940
P00385,Roy Underwood,m,,,,,,,,,1940
P00386,J. Allen Reese,m,phd,,,,,,,,1940
P00387,Redding Stancil Sugg,m,phd,,,,,,,,1940
